year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,3348.0,5810.0,3885.0,1925.0,968051.0,289.0,167.0,1.74,Marquette,53,0
2025,November '24,3355.0,5806.0,3897.0,1909.0,960378.0,286.0,165.0,1.73,Marquette,53,0
2025,December '24,3384.0,5851.0,3947.0,1904.0,964001.0,285.0,165.0,1.73,Marquette,53,0
2025,January '25,3401.0,5830.0,3963.0,1867.0,954618.0,281.0,164.0,1.71,Marquette,53,0
2025,February '25,3471.0,5947.0,4044.0,1903.0,974912.0,281.0,164.0,1.71,Marquette,53,0
2025,March '25,3454.0,5942.0,4027.0,1915.0,958339.0,277.0,161.0,1.72,Marquette,53,0
2025,April '25,3392.0,5825.0,3955.0,1870.0,956815.0,282.0,164.0,1.72,Marquette,53,0
2025,May '25,3356.0,5784.0,3907.0,1877.0,935494.0,279.0,162.0,1.72,Marquette,53,0
2025,June '25,3336.0,5738.0,3886.0,1852.0,933489.0,280.0,163.0,1.72,Marquette,53,0
2025,July '25,3265.0,5638.0,3801.0,1837.0,946349.0,290.0,168.0,1.73,Marquette,53,0
2025,August '25,3247.0,5593.0,3767.0,1826.0,937243.0,289.0,168.0,1.72,Marquette,53,0
2025,September '25,3240.0,5568.0,3753.0,1815.0,921085.0,284.0,165.0,1.72,Marquette,53,0
2025,October '24,3348.0,5810.0,3885.0,1925.0,968051.0,289.0,167.0,1.74,Marquette,53,1
2025,November '24,3355.0,5806.0,3897.0,1909.0,960378.0,286.0,165.0,1.73,Marquette,53,1
2025,December '24,3384.0,5851.0,3947.0,1904.0,964001.0,285.0,165.0,1.73,Marquette,53,1
2025,January '25,3401.0,5830.0,3963.0,1867.0,954618.0,281.0,164.0,1.71,Marquette,53,1
2025,February '25,3471.0,5947.0,4044.0,1903.0,974912.0,281.0,164.0,1.71,Marquette,53,1
2025,March '25,3454.0,5942.0,4027.0,1915.0,958339.0,277.0,161.0,1.72,Marquette,53,1
2025,April '25,3392.0,5825.0,3955.0,1870.0,956815.0,282.0,164.0,1.72,Marquette,53,1
2025,May '25,3356.0,5784.0,3907.0,1877.0,935494.0,279.0,162.0,1.72,Marquette,53,1
2025,June '25,3336.0,5738.0,3886.0,1852.0,933489.0,280.0,163.0,1.72,Marquette,53,1
2025,July '25,3265.0,5638.0,3801.0,1837.0,946349.0,290.0,168.0,1.73,Marquette,53,1
2025,August '25,3247.0,5593.0,3767.0,1826.0,937243.0,289.0,168.0,1.72,Marquette,53,1
2025,September '25,3240.0,5568.0,3753.0,1815.0,921085.0,284.0,165.0,1.72,Marquette,53,1
