year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,2112.0,3906.0,2551.0,1355.0,630436.0,299.0,161.0,1.85,Mason,54,0
2025,November '24,2144.0,3945.0,2595.0,1350.0,641401.0,299.0,163.0,1.84,Mason,54,0
2025,December '24,2158.0,4002.0,2618.0,1384.0,653941.0,303.0,163.0,1.85,Mason,54,0
2025,January '25,2175.0,3979.0,2620.0,1359.0,654756.0,301.0,165.0,1.83,Mason,54,0
2025,February '25,2202.0,4034.0,2646.0,1388.0,664253.0,302.0,165.0,1.83,Mason,54,0
2025,March '25,2195.0,4010.0,2643.0,1367.0,652253.0,297.0,163.0,1.83,Mason,54,0
2025,April '25,2148.0,3934.0,2589.0,1345.0,645069.0,300.0,164.0,1.83,Mason,54,0
2025,May '25,2101.0,3830.0,2536.0,1294.0,623752.0,297.0,163.0,1.82,Mason,54,0
2025,June '25,2080.0,3796.0,2503.0,1293.0,613935.0,295.0,162.0,1.83,Mason,54,0
2025,July '25,2044.0,3740.0,2461.0,1279.0,610324.0,299.0,163.0,1.83,Mason,54,0
2025,August '25,2006.0,3630.0,2400.0,1230.0,596047.0,297.0,164.0,1.81,Mason,54,0
2025,September '25,1988.0,3590.0,2377.0,1213.0,583855.0,294.0,163.0,1.81,Mason,54,0
2025,October '24,2112.0,3906.0,2551.0,1355.0,630436.0,299.0,161.0,1.85,Mason,54,1
2025,November '24,2144.0,3945.0,2595.0,1350.0,641401.0,299.0,163.0,1.84,Mason,54,1
2025,December '24,2158.0,4002.0,2618.0,1384.0,653941.0,303.0,163.0,1.85,Mason,54,1
2025,January '25,2175.0,3979.0,2620.0,1359.0,654756.0,301.0,165.0,1.83,Mason,54,1
2025,February '25,2202.0,4034.0,2646.0,1388.0,664253.0,302.0,165.0,1.83,Mason,54,1
2025,March '25,2195.0,4010.0,2643.0,1367.0,652253.0,297.0,163.0,1.83,Mason,54,1
2025,April '25,2148.0,3934.0,2589.0,1345.0,645069.0,300.0,164.0,1.83,Mason,54,1
2025,May '25,2101.0,3830.0,2536.0,1294.0,623752.0,297.0,163.0,1.82,Mason,54,1
2025,June '25,2080.0,3796.0,2503.0,1293.0,613935.0,295.0,162.0,1.83,Mason,54,1
2025,July '25,2044.0,3740.0,2461.0,1279.0,610324.0,299.0,163.0,1.83,Mason,54,1
2025,August '25,2006.0,3630.0,2400.0,1230.0,596047.0,297.0,164.0,1.81,Mason,54,1
2025,September '25,1988.0,3590.0,2377.0,1213.0,583855.0,294.0,163.0,1.81,Mason,54,1
