year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,1442.0,2523.0,1672.0,851.0,412945.0,286.0,164.0,1.75,Menominee,56,0
2025,November '24,1433.0,2539.0,1670.0,869.0,422510.0,295.0,166.0,1.77,Menominee,56,0
2025,December '24,1423.0,2494.0,1656.0,838.0,421325.0,296.0,169.0,1.75,Menominee,56,0
2025,January '25,1422.0,2478.0,1651.0,827.0,412837.0,290.0,167.0,1.74,Menominee,56,0
2025,February '25,1429.0,2502.0,1656.0,846.0,413727.0,290.0,165.0,1.75,Menominee,56,0
2025,March '25,1419.0,2473.0,1643.0,830.0,395277.0,279.0,160.0,1.74,Menominee,56,0
2025,April '25,1399.0,2425.0,1616.0,809.0,395401.0,283.0,163.0,1.73,Menominee,56,0
2025,May '25,1389.0,2413.0,1605.0,808.0,389033.0,280.0,161.0,1.74,Menominee,56,0
2025,June '25,1382.0,2419.0,1607.0,812.0,387907.0,281.0,160.0,1.75,Menominee,56,0
2025,July '25,1380.0,2409.0,1605.0,804.0,393822.0,285.0,163.0,1.75,Menominee,56,0
2025,August '25,1382.0,2412.0,1603.0,809.0,391935.0,284.0,162.0,1.75,Menominee,56,0
2025,September '25,1382.0,2408.0,1606.0,802.0,394213.0,285.0,164.0,1.74,Menominee,56,0
2025,October '24,1442.0,2523.0,1672.0,851.0,412945.0,286.0,164.0,1.75,Menominee,56,1
2025,November '24,1433.0,2539.0,1670.0,869.0,422510.0,295.0,166.0,1.77,Menominee,56,1
2025,December '24,1423.0,2494.0,1656.0,838.0,421325.0,296.0,169.0,1.75,Menominee,56,1
2025,January '25,1422.0,2478.0,1651.0,827.0,412837.0,290.0,167.0,1.74,Menominee,56,1
2025,February '25,1429.0,2502.0,1656.0,846.0,413727.0,290.0,165.0,1.75,Menominee,56,1
2025,March '25,1419.0,2473.0,1643.0,830.0,395277.0,279.0,160.0,1.74,Menominee,56,1
2025,April '25,1399.0,2425.0,1616.0,809.0,395401.0,283.0,163.0,1.73,Menominee,56,1
2025,May '25,1389.0,2413.0,1605.0,808.0,389033.0,280.0,161.0,1.74,Menominee,56,1
2025,June '25,1382.0,2419.0,1607.0,812.0,387907.0,281.0,160.0,1.75,Menominee,56,1
2025,July '25,1380.0,2409.0,1605.0,804.0,393822.0,285.0,163.0,1.75,Menominee,56,1
2025,August '25,1382.0,2412.0,1603.0,809.0,391935.0,284.0,162.0,1.75,Menominee,56,1
2025,September '25,1382.0,2408.0,1606.0,802.0,394213.0,285.0,164.0,1.74,Menominee,56,1
