year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,4694.0,8602.0,5568.0,3034.0,1421745.0,303.0,165.0,1.83,Midland,57,0
2025,November '24,4690.0,8562.0,5568.0,2994.0,1416422.0,302.0,165.0,1.83,Midland,57,0
2025,December '24,4713.0,8581.0,5598.0,2983.0,1418812.0,301.0,165.0,1.82,Midland,57,0
2025,January '25,4736.0,8648.0,5625.0,3023.0,1418169.0,299.0,164.0,1.83,Midland,57,0
2025,February '25,4770.0,8700.0,5671.0,3029.0,1440061.0,302.0,166.0,1.82,Midland,57,0
2025,March '25,4753.0,8643.0,5663.0,2980.0,1409506.0,297.0,163.0,1.82,Midland,57,0
2025,April '25,4746.0,8626.0,5653.0,2973.0,1409703.0,297.0,163.0,1.82,Midland,57,0
2025,May '25,4730.0,8600.0,5643.0,2957.0,1378467.0,291.0,160.0,1.82,Midland,57,0
2025,June '25,4713.0,8558.0,5630.0,2928.0,1400879.0,297.0,164.0,1.82,Midland,57,0
2025,July '25,4680.0,8495.0,5585.0,2910.0,1410080.0,301.0,166.0,1.82,Midland,57,0
2025,August '25,4690.0,8504.0,5584.0,2920.0,1422208.0,303.0,167.0,1.81,Midland,57,0
2025,September '25,4725.0,8607.0,5656.0,2951.0,1421849.0,301.0,165.0,1.82,Midland,57,0
2025,October '24,4694.0,8602.0,5568.0,3034.0,1421745.0,303.0,165.0,1.83,Midland,57,1
2025,November '24,4690.0,8562.0,5568.0,2994.0,1416422.0,302.0,165.0,1.83,Midland,57,1
2025,December '24,4713.0,8581.0,5598.0,2983.0,1418812.0,301.0,165.0,1.82,Midland,57,1
2025,January '25,4736.0,8648.0,5625.0,3023.0,1418169.0,299.0,164.0,1.83,Midland,57,1
2025,February '25,4770.0,8700.0,5671.0,3029.0,1440061.0,302.0,166.0,1.82,Midland,57,1
2025,March '25,4753.0,8643.0,5663.0,2980.0,1409506.0,297.0,163.0,1.82,Midland,57,1
2025,April '25,4746.0,8626.0,5653.0,2973.0,1409703.0,297.0,163.0,1.82,Midland,57,1
2025,May '25,4730.0,8600.0,5643.0,2957.0,1378467.0,291.0,160.0,1.82,Midland,57,1
2025,June '25,4713.0,8558.0,5630.0,2928.0,1400879.0,297.0,164.0,1.82,Midland,57,1
2025,July '25,4680.0,8495.0,5585.0,2910.0,1410080.0,301.0,166.0,1.82,Midland,57,1
2025,August '25,4690.0,8504.0,5584.0,2920.0,1422208.0,303.0,167.0,1.81,Midland,57,1
2025,September '25,4725.0,8607.0,5656.0,2951.0,1421849.0,301.0,165.0,1.82,Midland,57,1
