year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,988.0,1950.0,1214.0,736.0,306261.0,310.0,157.0,1.97,Missaukee,58,0
2025,November '24,992.0,1992.0,1221.0,771.0,299895.0,302.0,151.0,2.01,Missaukee,58,0
2025,December '24,1003.0,2051.0,1237.0,814.0,309708.0,309.0,151.0,2.04,Missaukee,58,0
2025,January '25,1018.0,2079.0,1264.0,815.0,309236.0,304.0,149.0,2.04,Missaukee,58,0
2025,February '25,1020.0,2090.0,1265.0,825.0,313605.0,307.0,150.0,2.05,Missaukee,58,0
2025,March '25,1000.0,2040.0,1233.0,807.0,305710.0,306.0,150.0,2.04,Missaukee,58,0
2025,April '25,988.0,2025.0,1213.0,812.0,310136.0,314.0,153.0,2.05,Missaukee,58,0
2025,May '25,991.0,2021.0,1219.0,802.0,308255.0,311.0,153.0,2.04,Missaukee,58,0
2025,June '25,997.0,2008.0,1219.0,789.0,307751.0,309.0,153.0,2.01,Missaukee,58,0
2025,July '25,982.0,1971.0,1193.0,778.0,308729.0,314.0,157.0,2.01,Missaukee,58,0
2025,August '25,982.0,1974.0,1197.0,777.0,306107.0,312.0,155.0,2.01,Missaukee,58,0
2025,September '25,982.0,1995.0,1196.0,799.0,313784.0,320.0,157.0,2.03,Missaukee,58,0
2025,October '24,988.0,1950.0,1214.0,736.0,306261.0,310.0,157.0,1.97,Missaukee,58,1
2025,November '24,992.0,1992.0,1221.0,771.0,299895.0,302.0,151.0,2.01,Missaukee,58,1
2025,December '24,1003.0,2051.0,1237.0,814.0,309708.0,309.0,151.0,2.04,Missaukee,58,1
2025,January '25,1018.0,2079.0,1264.0,815.0,309236.0,304.0,149.0,2.04,Missaukee,58,1
2025,February '25,1020.0,2090.0,1265.0,825.0,313605.0,307.0,150.0,2.05,Missaukee,58,1
2025,March '25,1000.0,2040.0,1233.0,807.0,305710.0,306.0,150.0,2.04,Missaukee,58,1
2025,April '25,988.0,2025.0,1213.0,812.0,310136.0,314.0,153.0,2.05,Missaukee,58,1
2025,May '25,991.0,2021.0,1219.0,802.0,308255.0,311.0,153.0,2.04,Missaukee,58,1
2025,June '25,997.0,2008.0,1219.0,789.0,307751.0,309.0,153.0,2.01,Missaukee,58,1
2025,July '25,982.0,1971.0,1193.0,778.0,308729.0,314.0,157.0,2.01,Missaukee,58,1
2025,August '25,982.0,1974.0,1197.0,777.0,306107.0,312.0,155.0,2.01,Missaukee,58,1
2025,September '25,982.0,1995.0,1196.0,799.0,313784.0,320.0,157.0,2.03,Missaukee,58,1
