year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,4628.0,8989.0,5660.0,3329.0,1473593.0,318.0,164.0,1.94,Montcalm,60,0
2025,November '24,4623.0,8998.0,5677.0,3321.0,1460670.0,316.0,162.0,1.95,Montcalm,60,0
2025,December '24,4630.0,8957.0,5668.0,3289.0,1468316.0,317.0,164.0,1.93,Montcalm,60,0
2025,January '25,4706.0,9084.0,5773.0,3311.0,1467921.0,312.0,162.0,1.93,Montcalm,60,0
2025,February '25,4704.0,9109.0,5768.0,3341.0,1483668.0,315.0,163.0,1.94,Montcalm,60,0
2025,March '25,4664.0,9031.0,5704.0,3327.0,1468407.0,315.0,163.0,1.94,Montcalm,60,0
2025,April '25,4642.0,8957.0,5678.0,3279.0,1469022.0,316.0,164.0,1.93,Montcalm,60,0
2025,May '25,4625.0,8939.0,5655.0,3284.0,1437654.0,311.0,161.0,1.93,Montcalm,60,0
2025,June '25,4613.0,8897.0,5630.0,3267.0,1443017.0,313.0,162.0,1.93,Montcalm,60,0
2025,July '25,4578.0,8786.0,5566.0,3220.0,1454138.0,318.0,166.0,1.92,Montcalm,60,0
2025,August '25,4587.0,8834.0,5593.0,3241.0,1457798.0,318.0,165.0,1.93,Montcalm,60,0
2025,September '25,4595.0,8865.0,5594.0,3271.0,1455325.0,317.0,164.0,1.93,Montcalm,60,0
2025,October '24,4628.0,8989.0,5660.0,3329.0,1473593.0,318.0,164.0,1.94,Montcalm,60,1
2025,November '24,4623.0,8998.0,5677.0,3321.0,1460670.0,316.0,162.0,1.95,Montcalm,60,1
2025,December '24,4630.0,8957.0,5668.0,3289.0,1468316.0,317.0,164.0,1.93,Montcalm,60,1
2025,January '25,4706.0,9084.0,5773.0,3311.0,1467921.0,312.0,162.0,1.93,Montcalm,60,1
2025,February '25,4704.0,9109.0,5768.0,3341.0,1483668.0,315.0,163.0,1.94,Montcalm,60,1
2025,March '25,4664.0,9031.0,5704.0,3327.0,1468407.0,315.0,163.0,1.94,Montcalm,60,1
2025,April '25,4642.0,8957.0,5678.0,3279.0,1469022.0,316.0,164.0,1.93,Montcalm,60,1
2025,May '25,4625.0,8939.0,5655.0,3284.0,1437654.0,311.0,161.0,1.93,Montcalm,60,1
2025,June '25,4613.0,8897.0,5630.0,3267.0,1443017.0,313.0,162.0,1.93,Montcalm,60,1
2025,July '25,4578.0,8786.0,5566.0,3220.0,1454138.0,318.0,166.0,1.92,Montcalm,60,1
2025,August '25,4587.0,8834.0,5593.0,3241.0,1457798.0,318.0,165.0,1.93,Montcalm,60,1
2025,September '25,4595.0,8865.0,5594.0,3271.0,1455325.0,317.0,164.0,1.93,Montcalm,60,1
