year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,17754.0,32166.0,19822.0,12344.0,5649678.0,318.0,176.0,1.81,Muskegon,62,0
2025,November '24,17921.0,32480.0,20077.0,12403.0,5657469.0,316.0,174.0,1.81,Muskegon,62,0
2025,December '24,18051.0,32843.0,20265.0,12578.0,5739966.0,318.0,175.0,1.82,Muskegon,62,0
2025,January '25,18160.0,32892.0,20392.0,12500.0,5685769.0,313.0,173.0,1.81,Muskegon,62,0
2025,February '25,18262.0,33062.0,20534.0,12528.0,5736058.0,314.0,173.0,1.81,Muskegon,62,0
2025,March '25,18219.0,32854.0,20446.0,12408.0,5640763.0,310.0,172.0,1.8,Muskegon,62,0
2025,April '25,18040.0,32508.0,20233.0,12275.0,5645753.0,313.0,174.0,1.8,Muskegon,62,0
2025,May '25,17896.0,32035.0,20006.0,12029.0,5518557.0,308.0,172.0,1.79,Muskegon,62,0
2025,June '25,17894.0,32126.0,20017.0,12109.0,5580739.0,312.0,174.0,1.8,Muskegon,62,0
2025,July '25,17844.0,32058.0,19955.0,12103.0,5655024.0,317.0,176.0,1.8,Muskegon,62,0
2025,August '25,17911.0,32150.0,20009.0,12141.0,5715979.0,319.0,178.0,1.79,Muskegon,62,0
2025,September '25,17956.0,32268.0,20051.0,12217.0,5716577.0,318.0,177.0,1.8,Muskegon,62,0
2025,October '24,17754.0,32166.0,19822.0,12344.0,5649678.0,318.0,176.0,1.81,Muskegon,62,1
2025,November '24,17921.0,32480.0,20077.0,12403.0,5657469.0,316.0,174.0,1.81,Muskegon,62,1
2025,December '24,18051.0,32843.0,20265.0,12578.0,5739966.0,318.0,175.0,1.82,Muskegon,62,1
2025,January '25,18160.0,32892.0,20392.0,12500.0,5685769.0,313.0,173.0,1.81,Muskegon,62,1
2025,February '25,18262.0,33062.0,20534.0,12528.0,5736058.0,314.0,173.0,1.81,Muskegon,62,1
2025,March '25,18219.0,32854.0,20446.0,12408.0,5640763.0,310.0,172.0,1.8,Muskegon,62,1
2025,April '25,18040.0,32508.0,20233.0,12275.0,5645753.0,313.0,174.0,1.8,Muskegon,62,1
2025,May '25,17896.0,32035.0,20006.0,12029.0,5518557.0,308.0,172.0,1.79,Muskegon,62,1
2025,June '25,17894.0,32126.0,20017.0,12109.0,5580739.0,312.0,174.0,1.8,Muskegon,62,1
2025,July '25,17844.0,32058.0,19955.0,12103.0,5655024.0,317.0,176.0,1.8,Muskegon,62,1
2025,August '25,17911.0,32150.0,20009.0,12141.0,5715979.0,319.0,178.0,1.79,Muskegon,62,1
2025,September '25,17956.0,32268.0,20051.0,12217.0,5716577.0,318.0,177.0,1.8,Muskegon,62,1
