year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,54557.0,93680.0,60971.0,32709.0,17736701.0,325.0,189.0,1.72,Oakland,64,0
2025,November '24,54572.0,93922.0,61262.0,32660.0,17713436.0,325.0,189.0,1.72,Oakland,64,0
2025,December '24,54699.0,93878.0,61423.0,32455.0,17751076.0,325.0,189.0,1.72,Oakland,64,0
2025,January '25,55062.0,94272.0,61813.0,32459.0,17618722.0,320.0,187.0,1.71,Oakland,64,0
2025,February '25,55491.0,95040.0,62347.0,32693.0,17855439.0,322.0,188.0,1.71,Oakland,64,0
2025,March '25,55681.0,95085.0,62520.0,32565.0,17652034.0,317.0,186.0,1.71,Oakland,64,0
2025,April '25,55184.0,94349.0,61955.0,32394.0,17668923.0,320.0,187.0,1.71,Oakland,64,0
2025,May '25,54627.0,93275.0,61291.0,31984.0,17149876.0,314.0,184.0,1.71,Oakland,64,0
2025,June '25,54185.0,92455.0,60747.0,31708.0,17260823.0,319.0,187.0,1.71,Oakland,64,0
2025,July '25,53959.0,92046.0,60459.0,31587.0,17449547.0,323.0,190.0,1.71,Oakland,64,0
2025,August '25,53987.0,92219.0,60444.0,31775.0,17595729.0,326.0,191.0,1.71,Oakland,64,0
2025,September '25,54349.0,93060.0,60807.0,32253.0,17677393.0,325.0,190.0,1.71,Oakland,64,0
2025,October '24,54557.0,93680.0,60971.0,32709.0,17736701.0,325.0,189.0,1.72,Oakland,64,1
2025,November '24,54572.0,93922.0,61262.0,32660.0,17713436.0,325.0,189.0,1.72,Oakland,64,1
2025,December '24,54699.0,93878.0,61423.0,32455.0,17751076.0,325.0,189.0,1.72,Oakland,64,1
2025,January '25,55062.0,94272.0,61813.0,32459.0,17618722.0,320.0,187.0,1.71,Oakland,64,1
2025,February '25,55491.0,95040.0,62347.0,32693.0,17855439.0,322.0,188.0,1.71,Oakland,64,1
2025,March '25,55681.0,95085.0,62520.0,32565.0,17652034.0,317.0,186.0,1.71,Oakland,64,1
2025,April '25,55184.0,94349.0,61955.0,32394.0,17668923.0,320.0,187.0,1.71,Oakland,64,1
2025,May '25,54627.0,93275.0,61291.0,31984.0,17149876.0,314.0,184.0,1.71,Oakland,64,1
2025,June '25,54185.0,92455.0,60747.0,31708.0,17260823.0,319.0,187.0,1.71,Oakland,64,1
2025,July '25,53959.0,92046.0,60459.0,31587.0,17449547.0,323.0,190.0,1.71,Oakland,64,1
2025,August '25,53987.0,92219.0,60444.0,31775.0,17595729.0,326.0,191.0,1.71,Oakland,64,1
2025,September '25,54349.0,93060.0,60807.0,32253.0,17677393.0,325.0,190.0,1.71,Oakland,64,1
