year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,2086.0,4078.0,2506.0,1572.0,644521.0,309.0,158.0,1.95,Oceana,65,0
2025,November '24,2085.0,4054.0,2492.0,1562.0,645250.0,309.0,159.0,1.94,Oceana,65,0
2025,December '24,2103.0,4073.0,2498.0,1575.0,649856.0,309.0,160.0,1.94,Oceana,65,0
2025,January '25,2126.0,4126.0,2535.0,1591.0,660916.0,311.0,160.0,1.94,Oceana,65,0
2025,February '25,2120.0,4112.0,2531.0,1581.0,659708.0,311.0,160.0,1.94,Oceana,65,0
2025,March '25,2094.0,4088.0,2499.0,1589.0,649332.0,310.0,159.0,1.95,Oceana,65,0
2025,April '25,2062.0,4000.0,2457.0,1543.0,646719.0,314.0,162.0,1.94,Oceana,65,0
2025,May '25,2040.0,3952.0,2430.0,1522.0,636391.0,312.0,161.0,1.94,Oceana,65,0
2025,June '25,2049.0,3945.0,2445.0,1500.0,632411.0,309.0,160.0,1.93,Oceana,65,0
2025,July '25,1999.0,3811.0,2380.0,1431.0,620499.0,310.0,163.0,1.91,Oceana,65,0
2025,August '25,1976.0,3783.0,2358.0,1425.0,611372.0,309.0,162.0,1.91,Oceana,65,0
2025,September '25,1979.0,3767.0,2349.0,1418.0,609029.0,308.0,162.0,1.9,Oceana,65,0
2025,October '24,2086.0,4078.0,2506.0,1572.0,644521.0,309.0,158.0,1.95,Oceana,65,1
2025,November '24,2085.0,4054.0,2492.0,1562.0,645250.0,309.0,159.0,1.94,Oceana,65,1
2025,December '24,2103.0,4073.0,2498.0,1575.0,649856.0,309.0,160.0,1.94,Oceana,65,1
2025,January '25,2126.0,4126.0,2535.0,1591.0,660916.0,311.0,160.0,1.94,Oceana,65,1
2025,February '25,2120.0,4112.0,2531.0,1581.0,659708.0,311.0,160.0,1.94,Oceana,65,1
2025,March '25,2094.0,4088.0,2499.0,1589.0,649332.0,310.0,159.0,1.95,Oceana,65,1
2025,April '25,2062.0,4000.0,2457.0,1543.0,646719.0,314.0,162.0,1.94,Oceana,65,1
2025,May '25,2040.0,3952.0,2430.0,1522.0,636391.0,312.0,161.0,1.94,Oceana,65,1
2025,June '25,2049.0,3945.0,2445.0,1500.0,632411.0,309.0,160.0,1.93,Oceana,65,1
2025,July '25,1999.0,3811.0,2380.0,1431.0,620499.0,310.0,163.0,1.91,Oceana,65,1
2025,August '25,1976.0,3783.0,2358.0,1425.0,611372.0,309.0,162.0,1.91,Oceana,65,1
2025,September '25,1979.0,3767.0,2349.0,1418.0,609029.0,308.0,162.0,1.9,Oceana,65,1
