year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,2228.0,3905.0,2707.0,1198.0,623345.0,280.0,160.0,1.75,Ogemaw,66,0
2025,November '24,2226.0,3902.0,2713.0,1189.0,620892.0,279.0,159.0,1.75,Ogemaw,66,0
2025,December '24,2266.0,3975.0,2760.0,1215.0,635785.0,281.0,160.0,1.75,Ogemaw,66,0
2025,January '25,2281.0,4025.0,2780.0,1245.0,635656.0,279.0,158.0,1.76,Ogemaw,66,0
2025,February '25,2291.0,4053.0,2802.0,1251.0,645492.0,282.0,159.0,1.77,Ogemaw,66,0
2025,March '25,2288.0,4045.0,2800.0,1245.0,633958.0,277.0,157.0,1.77,Ogemaw,66,0
2025,April '25,2285.0,4026.0,2789.0,1237.0,638210.0,279.0,159.0,1.76,Ogemaw,66,0
2025,May '25,2276.0,4008.0,2772.0,1236.0,635020.0,279.0,158.0,1.76,Ogemaw,66,0
2025,June '25,2286.0,3994.0,2780.0,1214.0,636941.0,279.0,159.0,1.75,Ogemaw,66,0
2025,July '25,2253.0,3966.0,2740.0,1226.0,643354.0,286.0,162.0,1.76,Ogemaw,66,0
2025,August '25,2244.0,3940.0,2731.0,1209.0,638334.0,284.0,162.0,1.76,Ogemaw,66,0
2025,September '25,2221.0,3921.0,2724.0,1197.0,627548.0,283.0,160.0,1.77,Ogemaw,66,0
2025,October '24,2228.0,3905.0,2707.0,1198.0,623345.0,280.0,160.0,1.75,Ogemaw,66,1
2025,November '24,2226.0,3902.0,2713.0,1189.0,620892.0,279.0,159.0,1.75,Ogemaw,66,1
2025,December '24,2266.0,3975.0,2760.0,1215.0,635785.0,281.0,160.0,1.75,Ogemaw,66,1
2025,January '25,2281.0,4025.0,2780.0,1245.0,635656.0,279.0,158.0,1.76,Ogemaw,66,1
2025,February '25,2291.0,4053.0,2802.0,1251.0,645492.0,282.0,159.0,1.77,Ogemaw,66,1
2025,March '25,2288.0,4045.0,2800.0,1245.0,633958.0,277.0,157.0,1.77,Ogemaw,66,1
2025,April '25,2285.0,4026.0,2789.0,1237.0,638210.0,279.0,159.0,1.76,Ogemaw,66,1
2025,May '25,2276.0,4008.0,2772.0,1236.0,635020.0,279.0,158.0,1.76,Ogemaw,66,1
2025,June '25,2286.0,3994.0,2780.0,1214.0,636941.0,279.0,159.0,1.75,Ogemaw,66,1
2025,July '25,2253.0,3966.0,2740.0,1226.0,643354.0,286.0,162.0,1.76,Ogemaw,66,1
2025,August '25,2244.0,3940.0,2731.0,1209.0,638334.0,284.0,162.0,1.76,Ogemaw,66,1
2025,September '25,2221.0,3921.0,2724.0,1197.0,627548.0,283.0,160.0,1.77,Ogemaw,66,1
