year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,432.0,697.0,514.0,183.0,110668.0,256.0,159.0,1.61,Ontonagon,67,0
2025,November '24,427.0,683.0,508.0,175.0,109762.0,257.0,161.0,1.6,Ontonagon,67,0
2025,December '24,427.0,671.0,501.0,170.0,112024.0,262.0,167.0,1.57,Ontonagon,67,0
2025,January '25,425.0,673.0,497.0,176.0,109802.0,258.0,163.0,1.58,Ontonagon,67,0
2025,February '25,433.0,688.0,509.0,179.0,113828.0,263.0,165.0,1.59,Ontonagon,67,0
2025,March '25,434.0,684.0,510.0,174.0,109490.0,252.0,160.0,1.58,Ontonagon,67,0
2025,April '25,436.0,690.0,517.0,173.0,110065.0,252.0,160.0,1.58,Ontonagon,67,0
2025,May '25,438.0,691.0,521.0,170.0,105213.0,240.0,152.0,1.58,Ontonagon,67,0
2025,June '25,441.0,697.0,519.0,178.0,110523.0,251.0,159.0,1.58,Ontonagon,67,0
2025,July '25,439.0,681.0,515.0,166.0,109484.0,249.0,161.0,1.55,Ontonagon,67,0
2025,August '25,439.0,672.0,510.0,162.0,109591.0,250.0,163.0,1.53,Ontonagon,67,0
2025,September '25,441.0,677.0,515.0,162.0,109440.0,248.0,162.0,1.54,Ontonagon,67,0
2025,October '24,432.0,697.0,514.0,183.0,110668.0,256.0,159.0,1.61,Ontonagon,67,1
2025,November '24,427.0,683.0,508.0,175.0,109762.0,257.0,161.0,1.6,Ontonagon,67,1
2025,December '24,427.0,671.0,501.0,170.0,112024.0,262.0,167.0,1.57,Ontonagon,67,1
2025,January '25,425.0,673.0,497.0,176.0,109802.0,258.0,163.0,1.58,Ontonagon,67,1
2025,February '25,433.0,688.0,509.0,179.0,113828.0,263.0,165.0,1.59,Ontonagon,67,1
2025,March '25,434.0,684.0,510.0,174.0,109490.0,252.0,160.0,1.58,Ontonagon,67,1
2025,April '25,436.0,690.0,517.0,173.0,110065.0,252.0,160.0,1.58,Ontonagon,67,1
2025,May '25,438.0,691.0,521.0,170.0,105213.0,240.0,152.0,1.58,Ontonagon,67,1
2025,June '25,441.0,697.0,519.0,178.0,110523.0,251.0,159.0,1.58,Ontonagon,67,1
2025,July '25,439.0,681.0,515.0,166.0,109484.0,249.0,161.0,1.55,Ontonagon,67,1
2025,August '25,439.0,672.0,510.0,162.0,109591.0,250.0,163.0,1.53,Ontonagon,67,1
2025,September '25,441.0,677.0,515.0,162.0,109440.0,248.0,162.0,1.54,Ontonagon,67,1
