year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,1711.0,3096.0,2025.0,1071.0,486222.0,284.0,157.0,1.81,Otsego,70,0
2025,November '24,1725.0,3089.0,2037.0,1052.0,481287.0,279.0,156.0,1.79,Otsego,70,0
2025,December '24,1722.0,3076.0,2030.0,1046.0,486212.0,282.0,158.0,1.79,Otsego,70,0
2025,January '25,1728.0,3132.0,2049.0,1083.0,486457.0,282.0,155.0,1.81,Otsego,70,0
2025,February '25,1754.0,3207.0,2081.0,1126.0,499857.0,285.0,156.0,1.83,Otsego,70,0
2025,March '25,1762.0,3249.0,2086.0,1163.0,497517.0,282.0,153.0,1.84,Otsego,70,0
2025,April '25,1763.0,3226.0,2078.0,1148.0,524171.0,297.0,162.0,1.83,Otsego,70,0
2025,May '25,1744.0,3158.0,2053.0,1105.0,486627.0,279.0,154.0,1.81,Otsego,70,0
2025,June '25,1732.0,3147.0,2042.0,1105.0,487497.0,281.0,155.0,1.82,Otsego,70,0
2025,July '25,1694.0,3071.0,1995.0,1076.0,483239.0,285.0,157.0,1.81,Otsego,70,0
2025,August '25,1693.0,3045.0,1979.0,1066.0,478112.0,282.0,157.0,1.8,Otsego,70,0
2025,September '25,1709.0,3094.0,1998.0,1096.0,487932.0,286.0,158.0,1.81,Otsego,70,0
2025,October '24,1711.0,3096.0,2025.0,1071.0,486222.0,284.0,157.0,1.81,Otsego,70,1
2025,November '24,1725.0,3089.0,2037.0,1052.0,481287.0,279.0,156.0,1.79,Otsego,70,1
2025,December '24,1722.0,3076.0,2030.0,1046.0,486212.0,282.0,158.0,1.79,Otsego,70,1
2025,January '25,1728.0,3132.0,2049.0,1083.0,486457.0,282.0,155.0,1.81,Otsego,70,1
2025,February '25,1754.0,3207.0,2081.0,1126.0,499857.0,285.0,156.0,1.83,Otsego,70,1
2025,March '25,1762.0,3249.0,2086.0,1163.0,497517.0,282.0,153.0,1.84,Otsego,70,1
2025,April '25,1763.0,3226.0,2078.0,1148.0,524171.0,297.0,162.0,1.83,Otsego,70,1
2025,May '25,1744.0,3158.0,2053.0,1105.0,486627.0,279.0,154.0,1.81,Otsego,70,1
2025,June '25,1732.0,3147.0,2042.0,1105.0,487497.0,281.0,155.0,1.82,Otsego,70,1
2025,July '25,1694.0,3071.0,1995.0,1076.0,483239.0,285.0,157.0,1.81,Otsego,70,1
2025,August '25,1693.0,3045.0,1979.0,1066.0,478112.0,282.0,157.0,1.8,Otsego,70,1
2025,September '25,1709.0,3094.0,1998.0,1096.0,487932.0,286.0,158.0,1.81,Otsego,70,1
