year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,865.0,1449.0,1037.0,412.0,234685.0,271.0,162.0,1.68,Presque Isle,72,0
2025,November '24,880.0,1472.0,1054.0,418.0,238215.0,271.0,162.0,1.67,Presque Isle,72,0
2025,December '24,882.0,1490.0,1063.0,427.0,241118.0,273.0,162.0,1.69,Presque Isle,72,0
2025,January '25,899.0,1533.0,1091.0,442.0,246784.0,275.0,161.0,1.71,Presque Isle,72,0
2025,February '25,912.0,1562.0,1107.0,455.0,254192.0,279.0,163.0,1.71,Presque Isle,72,0
2025,March '25,911.0,1572.0,1111.0,461.0,249928.0,274.0,159.0,1.73,Presque Isle,72,0
2025,April '25,902.0,1551.0,1100.0,451.0,280234.0,311.0,181.0,1.72,Presque Isle,72,0
2025,May '25,894.0,1538.0,1086.0,452.0,240353.0,269.0,156.0,1.72,Presque Isle,72,0
2025,June '25,886.0,1524.0,1077.0,447.0,241892.0,273.0,159.0,1.72,Presque Isle,72,0
2025,July '25,872.0,1480.0,1053.0,427.0,241753.0,277.0,163.0,1.7,Presque Isle,72,0
2025,August '25,856.0,1450.0,1037.0,413.0,238107.0,278.0,164.0,1.69,Presque Isle,72,0
2025,September '25,845.0,1419.0,1017.0,402.0,232019.0,275.0,164.0,1.68,Presque Isle,72,0
2025,October '24,865.0,1449.0,1037.0,412.0,234685.0,271.0,162.0,1.68,Presque Isle,72,1
2025,November '24,880.0,1472.0,1054.0,418.0,238215.0,271.0,162.0,1.67,Presque Isle,72,1
2025,December '24,882.0,1490.0,1063.0,427.0,241118.0,273.0,162.0,1.69,Presque Isle,72,1
2025,January '25,899.0,1533.0,1091.0,442.0,246784.0,275.0,161.0,1.71,Presque Isle,72,1
2025,February '25,912.0,1562.0,1107.0,455.0,254192.0,279.0,163.0,1.71,Presque Isle,72,1
2025,March '25,911.0,1572.0,1111.0,461.0,249928.0,274.0,159.0,1.73,Presque Isle,72,1
2025,April '25,902.0,1551.0,1100.0,451.0,280234.0,311.0,181.0,1.72,Presque Isle,72,1
2025,May '25,894.0,1538.0,1086.0,452.0,240353.0,269.0,156.0,1.72,Presque Isle,72,1
2025,June '25,886.0,1524.0,1077.0,447.0,241892.0,273.0,159.0,1.72,Presque Isle,72,1
2025,July '25,872.0,1480.0,1053.0,427.0,241753.0,277.0,163.0,1.7,Presque Isle,72,1
2025,August '25,856.0,1450.0,1037.0,413.0,238107.0,278.0,164.0,1.69,Presque Isle,72,1
2025,September '25,845.0,1419.0,1017.0,402.0,232019.0,275.0,164.0,1.68,Presque Isle,72,1
