year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,628.0,1086.0,749.0,337.0,176013.0,280.0,162.0,1.73,Schoolcraft,76,0
2025,November '24,634.0,1116.0,759.0,357.0,180468.0,285.0,162.0,1.76,Schoolcraft,76,0
2025,December '24,641.0,1139.0,768.0,371.0,187892.0,293.0,165.0,1.78,Schoolcraft,76,0
2025,January '25,649.0,1151.0,777.0,374.0,190041.0,293.0,165.0,1.77,Schoolcraft,76,0
2025,February '25,653.0,1157.0,782.0,375.0,192233.0,294.0,166.0,1.77,Schoolcraft,76,0
2025,March '25,646.0,1144.0,770.0,374.0,191504.0,296.0,167.0,1.77,Schoolcraft,76,0
2025,April '25,642.0,1130.0,764.0,366.0,189256.0,295.0,167.0,1.76,Schoolcraft,76,0
2025,May '25,634.0,1092.0,750.0,342.0,178673.0,282.0,164.0,1.72,Schoolcraft,76,0
2025,June '25,634.0,1089.0,748.0,341.0,179847.0,284.0,165.0,1.72,Schoolcraft,76,0
2025,July '25,614.0,1044.0,718.0,326.0,177362.0,289.0,170.0,1.7,Schoolcraft,76,0
2025,August '25,619.0,1056.0,726.0,330.0,176212.0,285.0,167.0,1.71,Schoolcraft,76,0
2025,September '25,615.0,1034.0,721.0,313.0,174570.0,284.0,169.0,1.68,Schoolcraft,76,0
2025,October '24,628.0,1086.0,749.0,337.0,176013.0,280.0,162.0,1.73,Schoolcraft,76,1
2025,November '24,634.0,1116.0,759.0,357.0,180468.0,285.0,162.0,1.76,Schoolcraft,76,1
2025,December '24,641.0,1139.0,768.0,371.0,187892.0,293.0,165.0,1.78,Schoolcraft,76,1
2025,January '25,649.0,1151.0,777.0,374.0,190041.0,293.0,165.0,1.77,Schoolcraft,76,1
2025,February '25,653.0,1157.0,782.0,375.0,192233.0,294.0,166.0,1.77,Schoolcraft,76,1
2025,March '25,646.0,1144.0,770.0,374.0,191504.0,296.0,167.0,1.77,Schoolcraft,76,1
2025,April '25,642.0,1130.0,764.0,366.0,189256.0,295.0,167.0,1.76,Schoolcraft,76,1
2025,May '25,634.0,1092.0,750.0,342.0,178673.0,282.0,164.0,1.72,Schoolcraft,76,1
2025,June '25,634.0,1089.0,748.0,341.0,179847.0,284.0,165.0,1.72,Schoolcraft,76,1
2025,July '25,614.0,1044.0,718.0,326.0,177362.0,289.0,170.0,1.7,Schoolcraft,76,1
2025,August '25,619.0,1056.0,726.0,330.0,176212.0,285.0,167.0,1.71,Schoolcraft,76,1
2025,September '25,615.0,1034.0,721.0,313.0,174570.0,284.0,169.0,1.68,Schoolcraft,76,1
