year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,5602.0,10836.0,6373.0,4463.0,1831429.0,327.0,169.0,1.93,Van Buren,81,0
2025,November '24,5686.0,11003.0,6488.0,4515.0,1854394.0,326.0,169.0,1.94,Van Buren,81,0
2025,December '24,5770.0,11166.0,6615.0,4551.0,1890631.0,328.0,169.0,1.94,Van Buren,81,0
2025,January '25,5823.0,11199.0,6675.0,4524.0,1885143.0,324.0,168.0,1.92,Van Buren,81,0
2025,February '25,5830.0,11248.0,6705.0,4543.0,1899482.0,326.0,169.0,1.93,Van Buren,81,0
2025,March '25,5882.0,11315.0,6744.0,4571.0,1901499.0,323.0,168.0,1.92,Van Buren,81,0
2025,April '25,5797.0,11173.0,6634.0,4539.0,1887082.0,326.0,169.0,1.93,Van Buren,81,0
2025,May '25,5778.0,11101.0,6600.0,4501.0,1854617.0,321.0,167.0,1.92,Van Buren,81,0
2025,June '25,5763.0,11101.0,6573.0,4528.0,1861834.0,323.0,168.0,1.93,Van Buren,81,0
2025,July '25,5734.0,11010.0,6521.0,4489.0,1887365.0,329.0,171.0,1.92,Van Buren,81,0
2025,August '25,5691.0,10885.0,6462.0,4423.0,1876090.0,330.0,172.0,1.91,Van Buren,81,0
2025,September '25,5741.0,10952.0,6511.0,4441.0,1871146.0,326.0,171.0,1.91,Van Buren,81,0
2025,October '24,5602.0,10836.0,6373.0,4463.0,1831429.0,327.0,169.0,1.93,Van Buren,81,1
2025,November '24,5686.0,11003.0,6488.0,4515.0,1854394.0,326.0,169.0,1.94,Van Buren,81,1
2025,December '24,5770.0,11166.0,6615.0,4551.0,1890631.0,328.0,169.0,1.94,Van Buren,81,1
2025,January '25,5823.0,11199.0,6675.0,4524.0,1885143.0,324.0,168.0,1.92,Van Buren,81,1
2025,February '25,5830.0,11248.0,6705.0,4543.0,1899482.0,326.0,169.0,1.93,Van Buren,81,1
2025,March '25,5882.0,11315.0,6744.0,4571.0,1901499.0,323.0,168.0,1.92,Van Buren,81,1
2025,April '25,5797.0,11173.0,6634.0,4539.0,1887082.0,326.0,169.0,1.93,Van Buren,81,1
2025,May '25,5778.0,11101.0,6600.0,4501.0,1854617.0,321.0,167.0,1.92,Van Buren,81,1
2025,June '25,5763.0,11101.0,6573.0,4528.0,1861834.0,323.0,168.0,1.93,Van Buren,81,1
2025,July '25,5734.0,11010.0,6521.0,4489.0,1887365.0,329.0,171.0,1.92,Van Buren,81,1
2025,August '25,5691.0,10885.0,6462.0,4423.0,1876090.0,330.0,172.0,1.91,Van Buren,81,1
2025,September '25,5741.0,10952.0,6511.0,4441.0,1871146.0,326.0,171.0,1.91,Van Buren,81,1
