year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,15749.0,28309.0,17496.0,10813.0,5326067.0,338.0,188.0,1.8,Washtenaw,82,0
2025,November '24,15822.0,28451.0,17607.0,10844.0,5299811.0,335.0,186.0,1.8,Washtenaw,82,0
2025,December '24,15820.0,28421.0,17602.0,10819.0,5297565.0,335.0,186.0,1.8,Washtenaw,82,0
2025,January '25,15823.0,28311.0,17618.0,10693.0,5237093.0,331.0,185.0,1.79,Washtenaw,82,0
2025,February '25,15919.0,28555.0,17774.0,10781.0,5343009.0,336.0,187.0,1.79,Washtenaw,82,0
2025,March '25,16030.0,28713.0,17909.0,10804.0,5277057.0,329.0,184.0,1.79,Washtenaw,82,0
2025,April '25,16050.0,28681.0,17896.0,10785.0,5331900.0,332.0,186.0,1.79,Washtenaw,82,0
2025,May '25,16049.0,28685.0,17890.0,10795.0,5230965.0,326.0,182.0,1.79,Washtenaw,82,0
2025,June '25,16054.0,28649.0,17899.0,10750.0,5359108.0,334.0,187.0,1.78,Washtenaw,82,0
2025,July '25,15933.0,28397.0,17777.0,10620.0,5394066.0,339.0,190.0,1.78,Washtenaw,82,0
2025,August '25,15949.0,28493.0,17802.0,10691.0,5400426.0,339.0,190.0,1.79,Washtenaw,82,0
2025,September '25,16089.0,28730.0,17952.0,10778.0,5447381.0,339.0,190.0,1.79,Washtenaw,82,0
2025,October '24,15749.0,28309.0,17496.0,10813.0,5326067.0,338.0,188.0,1.8,Washtenaw,82,1
2025,November '24,15822.0,28451.0,17607.0,10844.0,5299811.0,335.0,186.0,1.8,Washtenaw,82,1
2025,December '24,15820.0,28421.0,17602.0,10819.0,5297565.0,335.0,186.0,1.8,Washtenaw,82,1
2025,January '25,15823.0,28311.0,17618.0,10693.0,5237093.0,331.0,185.0,1.79,Washtenaw,82,1
2025,February '25,15919.0,28555.0,17774.0,10781.0,5343009.0,336.0,187.0,1.79,Washtenaw,82,1
2025,March '25,16030.0,28713.0,17909.0,10804.0,5277057.0,329.0,184.0,1.79,Washtenaw,82,1
2025,April '25,16050.0,28681.0,17896.0,10785.0,5331900.0,332.0,186.0,1.79,Washtenaw,82,1
2025,May '25,16049.0,28685.0,17890.0,10795.0,5230965.0,326.0,182.0,1.79,Washtenaw,82,1
2025,June '25,16054.0,28649.0,17899.0,10750.0,5359108.0,334.0,187.0,1.78,Washtenaw,82,1
2025,July '25,15933.0,28397.0,17777.0,10620.0,5394066.0,339.0,190.0,1.78,Washtenaw,82,1
2025,August '25,15949.0,28493.0,17802.0,10691.0,5400426.0,339.0,190.0,1.79,Washtenaw,82,1
2025,September '25,16089.0,28730.0,17952.0,10778.0,5447381.0,339.0,190.0,1.79,Washtenaw,82,1
