year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,222201.0,424753.0,247818.0,176935.0,81820988.0,368.0,193.0,1.91,Wayne,83,0
2025,November '24,223027.0,427181.0,249566.0,177615.0,81968831.0,368.0,192.0,1.92,Wayne,83,0
2025,December '24,223377.0,427684.0,250150.0,177534.0,82129232.0,368.0,192.0,1.91,Wayne,83,0
2025,January '25,224463.0,428851.0,251374.0,177477.0,81431312.0,363.0,190.0,1.91,Wayne,83,0
2025,February '25,225051.0,429663.0,252205.0,177458.0,81948519.0,364.0,191.0,1.91,Wayne,83,0
2025,March '25,225386.0,429889.0,252660.0,177229.0,80729731.0,358.0,188.0,1.91,Wayne,83,0
2025,April '25,224123.0,427471.0,251272.0,176199.0,81738062.0,365.0,191.0,1.91,Wayne,83,0
2025,May '25,223214.0,425819.0,250198.0,175621.0,80077136.0,359.0,188.0,1.91,Wayne,83,0
2025,June '25,223646.0,426933.0,250648.0,176285.0,82039906.0,367.0,192.0,1.91,Wayne,83,0
2025,July '25,222613.0,425213.0,249472.0,175741.0,82681717.0,371.0,194.0,1.91,Wayne,83,0
2025,August '25,223157.0,426542.0,249941.0,176601.0,83338068.0,373.0,195.0,1.91,Wayne,83,0
2025,September '25,224587.0,428974.0,251347.0,177627.0,83539648.0,372.0,195.0,1.91,Wayne,83,0
2025,October '24,222201.0,424753.0,247818.0,176935.0,81820988.0,368.0,193.0,1.91,Wayne,83,1
2025,November '24,223027.0,427181.0,249566.0,177615.0,81968831.0,368.0,192.0,1.92,Wayne,83,1
2025,December '24,223377.0,427684.0,250150.0,177534.0,82129232.0,368.0,192.0,1.91,Wayne,83,1
2025,January '25,224463.0,428851.0,251374.0,177477.0,81431312.0,363.0,190.0,1.91,Wayne,83,1
2025,February '25,225051.0,429663.0,252205.0,177458.0,81948519.0,364.0,191.0,1.91,Wayne,83,1
2025,March '25,225386.0,429889.0,252660.0,177229.0,80729731.0,358.0,188.0,1.91,Wayne,83,1
2025,April '25,224123.0,427471.0,251272.0,176199.0,81738062.0,365.0,191.0,1.91,Wayne,83,1
2025,May '25,223214.0,425819.0,250198.0,175621.0,80077136.0,359.0,188.0,1.91,Wayne,83,1
2025,June '25,223646.0,426933.0,250648.0,176285.0,82039906.0,367.0,192.0,1.91,Wayne,83,1
2025,July '25,222613.0,425213.0,249472.0,175741.0,82681717.0,371.0,194.0,1.91,Wayne,83,1
2025,August '25,223157.0,426542.0,249941.0,176601.0,83338068.0,373.0,195.0,1.91,Wayne,83,1
2025,September '25,224587.0,428974.0,251347.0,177627.0,83539648.0,372.0,195.0,1.91,Wayne,83,1
