year,Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,county,page_no,table_index
2025,October '24,2973.0,5656.0,3519.0,2137.0,929626.0,313.0,164.0,1.9,Wexford,84,0
2025,November '24,2995.0,5746.0,3564.0,2182.0,930115.0,311.0,162.0,1.92,Wexford,84,0
2025,December '24,2983.0,5692.0,3552.0,2140.0,936894.0,314.0,165.0,1.91,Wexford,84,0
2025,January '25,2967.0,5671.0,3548.0,2123.0,931594.0,314.0,164.0,1.91,Wexford,84,0
2025,February '25,3005.0,5740.0,3593.0,2147.0,933056.0,311.0,163.0,1.91,Wexford,84,0
2025,March '25,3014.0,5706.0,3584.0,2122.0,917394.0,304.0,161.0,1.89,Wexford,84,0
2025,April '25,2975.0,5621.0,3558.0,2063.0,899155.0,302.0,160.0,1.89,Wexford,84,0
2025,May '25,2950.0,5562.0,3521.0,2041.0,891699.0,302.0,160.0,1.89,Wexford,84,0
2025,June '25,2956.0,5587.0,3527.0,2060.0,906973.0,307.0,162.0,1.89,Wexford,84,0
2025,July '25,2923.0,5543.0,3502.0,2041.0,914666.0,313.0,165.0,1.9,Wexford,84,0
2025,August '25,2915.0,5545.0,3494.0,2051.0,913987.0,314.0,165.0,1.9,Wexford,84,0
2025,September '25,2918.0,5546.0,3490.0,2056.0,911957.0,313.0,164.0,1.9,Wexford,84,0
2025,October '24,2973.0,5656.0,3519.0,2137.0,929626.0,313.0,164.0,1.9,Wexford,84,1
2025,November '24,2995.0,5746.0,3564.0,2182.0,930115.0,311.0,162.0,1.92,Wexford,84,1
2025,December '24,2983.0,5692.0,3552.0,2140.0,936894.0,314.0,165.0,1.91,Wexford,84,1
2025,January '25,2967.0,5671.0,3548.0,2123.0,931594.0,314.0,164.0,1.91,Wexford,84,1
2025,February '25,3005.0,5740.0,3593.0,2147.0,933056.0,311.0,163.0,1.91,Wexford,84,1
2025,March '25,3014.0,5706.0,3584.0,2122.0,917394.0,304.0,161.0,1.89,Wexford,84,1
2025,April '25,2975.0,5621.0,3558.0,2063.0,899155.0,302.0,160.0,1.89,Wexford,84,1
2025,May '25,2950.0,5562.0,3521.0,2041.0,891699.0,302.0,160.0,1.89,Wexford,84,1
2025,June '25,2956.0,5587.0,3527.0,2060.0,906973.0,307.0,162.0,1.89,Wexford,84,1
2025,July '25,2923.0,5543.0,3502.0,2041.0,914666.0,313.0,165.0,1.9,Wexford,84,1
2025,August '25,2915.0,5545.0,3494.0,2051.0,913987.0,314.0,165.0,1.9,Wexford,84,1
2025,September '25,2918.0,5546.0,3490.0,2056.0,911957.0,313.0,164.0,1.9,Wexford,84,1
