Reporting Month,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,county,page_no,table_index
,806.0,1479.0,1019.0,460.0,175887.0,218.0,119.0,1.83,2015,Alcona,2,0
,797.0,1476.0,1013.0,463.0,174909.0,219.0,119.0,1.85,2015,Alcona,2,0
,784.0,1460.0,1000.0,460.0,171119.0,218.0,117.0,1.86,2015,Alcona,2,0
,789.0,1432.0,1004.0,428.0,165684.0,210.0,116.0,1.81,2015,Alcona,2,0
,793.0,1447.0,1008.0,439.0,166483.0,210.0,115.0,1.82,2015,Alcona,2,0
,786.0,1445.0,998.0,447.0,169121.0,215.0,117.0,1.84,2015,Alcona,2,0
,795.0,1447.0,1006.0,441.0,170280.0,214.0,118.0,1.82,2015,Alcona,2,0
,776.0,1423.0,989.0,434.0,166771.0,215.0,117.0,1.83,2015,Alcona,2,0
,766.0,1393.0,979.0,414.0,159911.0,209.0,115.0,1.82,2015,Alcona,2,0
,758.0,1392.0,969.0,423.0,155057.0,205.0,111.0,1.84,2015,Alcona,2,0
,754.0,1395.0,965.0,430.0,152845.0,203.0,110.0,1.85,2015,Alcona,2,0
,746.0,1372.0,958.0,414.0,147749.0,198.0,108.0,1.84,2015,Alcona,2,0
,779.0,1430.0,992.0,438.0,164651.0,211.0,115.0,1.84,2015,Alcona,2,0
,581.0,1095.0,709.0,386.0,122691.0,211.0,112.0,1.88,2015,Alger,3,0
,579.0,1108.0,714.0,394.0,124537.0,215.0,112.0,1.91,2015,Alger,3,0
,583.0,1106.0,718.0,388.0,124374.0,213.0,112.0,1.9,2015,Alger,3,0
,575.0,1091.0,711.0,380.0,121058.0,211.0,111.0,1.9,2015,Alger,3,0
,570.0,1076.0,702.0,374.0,121301.0,213.0,113.0,1.89,2015,Alger,3,0
,575.0,1092.0,709.0,383.0,120201.0,209.0,110.0,1.9,2015,Alger,3,0
,567.0,1075.0,700.0,375.0,119107.0,210.0,111.0,1.9,2015,Alger,3,0
,586.0,1095.0,721.0,374.0,121600.0,208.0,111.0,1.87,2015,Alger,3,0
,576.0,1081.0,707.0,374.0,120061.0,208.0,111.0,1.88,2015,Alger,3,0
,562.0,1052.0,689.0,363.0,112894.0,201.0,107.0,1.87,2015,Alger,3,0
,558.0,1055.0,681.0,374.0,109170.0,196.0,103.0,1.89,2015,Alger,3,0
,538.0,1006.0,657.0,349.0,107474.0,200.0,107.0,1.87,2015,Alger,3,0
,571.0,1078.0,702.0,376.0,118706.0,208.0,110.0,1.89,2015,Alger,3,0
,5927.0,12751.0,7032.0,5719.0,1462030.0,247.0,115.0,2.15,2015,Allegan,4,0
,5840.0,12537.0,6910.0,5627.0,1429146.0,245.0,114.0,2.15,2015,Allegan,4,0
,5791.0,12464.0,6859.0,5605.0,1415505.0,244.0,114.0,2.15,2015,Allegan,4,0
,5719.0,12240.0,6745.0,5495.0,1376490.0,241.0,112.0,2.14,2015,Allegan,4,0
,5721.0,12276.0,6780.0,5496.0,1390129.0,243.0,113.0,2.15,2015,Allegan,4,0
,5662.0,12198.0,6747.0,5451.0,1385878.0,245.0,114.0,2.15,2015,Allegan,4,0
,5585.0,12025.0,6658.0,5367.0,1371998.0,246.0,114.0,2.15,2015,Allegan,4,0
,5573.0,11917.0,6602.0,5315.0,1362175.0,244.0,114.0,2.14,2015,Allegan,4,0
,5528.0,11920.0,6563.0,5357.0,1335347.0,242.0,112.0,2.16,2015,Allegan,4,0
,5523.0,11853.0,6518.0,5335.0,1335597.0,242.0,113.0,2.15,2015,Allegan,4,0
,5466.0,11800.0,6439.0,5361.0,1326857.0,243.0,112.0,2.16,2015,Allegan,4,0
,5403.0,11649.0,6327.0,5322.0,1298571.0,240.0,111.0,2.16,2015,Allegan,4,0
,5645.0,12136.0,6682.0,5454.0,1374144.0,243.0,113.0,2.15,2015,Allegan,4,0
,2894.0,5262.0,3507.0,1755.0,606694.0,210.0,115.0,1.82,2015,Alpena,5,0
,2868.0,5202.0,3463.0,1739.0,595192.0,208.0,114.0,1.81,2015,Alpena,5,0
,2874.0,5186.0,3451.0,1735.0,581835.0,202.0,112.0,1.8,2015,Alpena,5,0
,2891.0,5217.0,3458.0,1759.0,574423.0,199.0,110.0,1.8,2015,Alpena,5,0
,2881.0,5201.0,3463.0,1738.0,580839.0,202.0,112.0,1.81,2015,Alpena,5,0
,2873.0,5191.0,3451.0,1740.0,574562.0,200.0,111.0,1.81,2015,Alpena,5,0
,2874.0,5193.0,3453.0,1740.0,567556.0,197.0,109.0,1.81,2015,Alpena,5,0
,2813.0,5071.0,3380.0,1691.0,554421.0,197.0,109.0,1.8,2015,Alpena,5,0
,2800.0,5071.0,3365.0,1706.0,545183.0,195.0,108.0,1.81,2015,Alpena,5,0
,2782.0,5028.0,3366.0,1662.0,535350.0,192.0,106.0,1.81,2015,Alpena,5,0
,2744.0,4942.0,3321.0,1621.0,528764.0,193.0,107.0,1.8,2015,Alpena,5,0
,2745.0,4919.0,3304.0,1615.0,524754.0,191.0,107.0,1.79,2015,Alpena,5,0
,2837.0,5124.0,3415.0,1708.0,564131.0,199.0,110.0,1.81,2015,Alpena,5,0
,1357.0,2787.0,1703.0,1084.0,299059.0,220.0,107.0,2.05,2015,Antrim,6,0
,1348.0,2747.0,1683.0,1064.0,299613.0,222.0,109.0,2.04,2015,Antrim,6,0
,1357.0,2792.0,1708.0,1084.0,295219.0,218.0,106.0,2.06,2015,Antrim,6,0
,1346.0,2793.0,1712.0,1081.0,296208.0,220.0,106.0,2.08,2015,Antrim,6,0
,1331.0,2776.0,1692.0,1084.0,296363.0,223.0,107.0,2.09,2015,Antrim,6,0
,1317.0,2769.0,1676.0,1093.0,294931.0,224.0,107.0,2.1,2015,Antrim,6,0
,1301.0,2741.0,1654.0,1087.0,290365.0,223.0,106.0,2.11,2015,Antrim,6,0
,1287.0,2670.0,1629.0,1041.0,286129.0,222.0,107.0,2.07,2015,Antrim,6,0
,1265.0,2614.0,1597.0,1017.0,281550.0,223.0,108.0,2.07,2015,Antrim,6,0
,1241.0,2525.0,1544.0,981.0,266388.0,215.0,106.0,2.03,2015,Antrim,6,0
,1209.0,2439.0,1504.0,935.0,253746.0,210.0,104.0,2.02,2015,Antrim,6,0
,1174.0,2341.0,1453.0,888.0,249997.0,213.0,107.0,1.99,2015,Antrim,6,0
,1294.0,2666.0,1630.0,1037.0,284131.0,219.0,107.0,2.06,2015,Antrim,6,0
,1570.0,2860.0,1938.0,922.0,333465.0,212.0,117.0,1.82,2015,Arenac,7,0
,1585.0,2906.0,1957.0,949.0,337197.0,213.0,116.0,1.83,2015,Arenac,7,0
,1619.0,2956.0,1999.0,957.0,337133.0,208.0,114.0,1.83,2015,Arenac,7,0
,1609.0,2954.0,2003.0,951.0,334560.0,208.0,113.0,1.84,2015,Arenac,7,0
,1594.0,2945.0,2001.0,944.0,335326.0,210.0,114.0,1.85,2015,Arenac,7,0
,1580.0,2901.0,1978.0,923.0,332694.0,211.0,115.0,1.84,2015,Arenac,7,0
,1569.0,2865.0,1959.0,906.0,328114.0,209.0,115.0,1.83,2015,Arenac,7,0
,1558.0,2840.0,1947.0,893.0,327477.0,210.0,115.0,1.82,2015,Arenac,7,0
,1556.0,2844.0,1937.0,907.0,322454.0,207.0,113.0,1.83,2015,Arenac,7,0
,1523.0,2795.0,1891.0,904.0,312631.0,205.0,112.0,1.84,2015,Arenac,7,0
,1503.0,2738.0,1861.0,877.0,303890.0,202.0,111.0,1.82,2015,Arenac,7,0
,1482.0,2697.0,1836.0,861.0,301242.0,203.0,112.0,1.82,2015,Arenac,7,0
,1562.0,2858.0,1942.0,916.0,325515.0,208.0,114.0,1.83,2015,Arenac,7,0
,668.0,1231.0,773.0,458.0,148200.0,222.0,120.0,1.84,2015,Baraga,8,0
,655.0,1208.0,756.0,452.0,147060.0,225.0,122.0,1.84,2015,Baraga,8,0
,665.0,1231.0,774.0,457.0,146673.0,221.0,119.0,1.85,2015,Baraga,8,0
,667.0,1234.0,776.0,458.0,145357.0,218.0,118.0,1.85,2015,Baraga,8,0
,671.0,1232.0,778.0,454.0,148219.0,221.0,120.0,1.84,2015,Baraga,8,0
,679.0,1248.0,792.0,456.0,150117.0,221.0,120.0,1.84,2015,Baraga,8,0
,670.0,1222.0,785.0,437.0,147101.0,220.0,120.0,1.82,2015,Baraga,8,0
,660.0,1218.0,775.0,443.0,149103.0,226.0,122.0,1.85,2015,Baraga,8,0
,660.0,1223.0,778.0,445.0,147791.0,224.0,121.0,1.85,2015,Baraga,8,0
,665.0,1232.0,782.0,450.0,146288.0,220.0,119.0,1.85,2015,Baraga,8,0
,662.0,1228.0,775.0,453.0,144651.0,219.0,118.0,1.85,2015,Baraga,8,0
,659.0,1212.0,769.0,443.0,142086.0,216.0,117.0,1.84,2015,Baraga,8,0
,665.0,1227.0,776.0,451.0,146887.0,221.0,120.0,1.84,2015,Baraga,8,0
,3112.0,6341.0,3846.0,2495.0,736233.0,237.0,116.0,2.04,2015,Barry,9,0
,3060.0,6210.0,3783.0,2427.0,718754.0,235.0,116.0,2.03,2015,Barry,9,0
,3044.0,6176.0,3774.0,2402.0,712216.0,234.0,115.0,2.03,2015,Barry,9,0
,3043.0,6203.0,3770.0,2433.0,704321.0,231.0,114.0,2.04,2015,Barry,9,0
,3025.0,6172.0,3759.0,2413.0,713850.0,236.0,116.0,2.04,2015,Barry,9,0
,2972.0,6049.0,3701.0,2348.0,689459.0,232.0,114.0,2.04,2015,Barry,9,0
,2963.0,6017.0,3684.0,2333.0,682923.0,230.0,113.0,2.03,2015,Barry,9,0
,2924.0,5938.0,3636.0,2302.0,668705.0,229.0,113.0,2.03,2015,Barry,9,0
,2874.0,5828.0,3566.0,2262.0,657043.0,229.0,113.0,2.03,2015,Barry,9,0
,2826.0,5670.0,3494.0,2176.0,636413.0,225.0,112.0,2.01,2015,Barry,9,0
,2821.0,5668.0,3480.0,2188.0,640084.0,227.0,113.0,2.01,2015,Barry,9,0
,2823.0,5689.0,3475.0,2214.0,632460.0,224.0,111.0,2.02,2015,Barry,9,0
,2957.0,5997.0,3664.0,2333.0,682705.0,231.0,114.0,2.03,2015,Barry,9,0
,9448.0,17606.0,10950.0,6656.0,2120891.0,224.0,120.0,1.86,2015,Bay,10,0
,9414.0,17537.0,10905.0,6632.0,2084694.0,221.0,119.0,1.86,2015,Bay,10,0
,9439.0,17523.0,10933.0,6590.0,2055709.0,218.0,117.0,1.86,2015,Bay,10,0
,9452.0,17528.0,10935.0,6593.0,2011780.0,213.0,115.0,1.85,2015,Bay,10,0
,9447.0,17516.0,10936.0,6580.0,2036673.0,216.0,116.0,1.85,2015,Bay,10,0
,9421.0,17457.0,10912.0,6545.0,2025328.0,215.0,116.0,1.85,2015,Bay,10,0
,9392.0,17386.0,10872.0,6514.0,2017413.0,215.0,116.0,1.85,2015,Bay,10,0
,9347.0,17286.0,10800.0,6486.0,2018589.0,216.0,117.0,1.85,2015,Bay,10,0
,9317.0,17274.0,10769.0,6505.0,1993082.0,214.0,115.0,1.85,2015,Bay,10,0
,9267.0,17113.0,10669.0,6444.0,1946362.0,210.0,114.0,1.85,2015,Bay,10,0
,9236.0,17053.0,10634.0,6419.0,1935979.0,210.0,114.0,1.85,2015,Bay,10,0
,9246.0,17066.0,10624.0,6442.0,1932437.0,209.0,113.0,1.85,2015,Bay,10,0
,9369.0,17362.0,10828.0,6534.0,2014911.0,215.0,116.0,1.85,2015,Bay,10,0
,1025.0,1988.0,1255.0,733.0,222799.0,217.0,112.0,1.94,2015,Benzie,11,0
,1018.0,1997.0,1254.0,743.0,215573.0,212.0,108.0,1.96,2015,Benzie,11,0
,1027.0,1971.0,1253.0,718.0,211370.0,206.0,107.0,1.92,2015,Benzie,11,0
,1010.0,1943.0,1229.0,714.0,209700.0,208.0,108.0,1.92,2015,Benzie,11,0
,1002.0,1930.0,1229.0,701.0,210740.0,210.0,109.0,1.93,2015,Benzie,11,0
,1011.0,1937.0,1245.0,692.0,209200.0,207.0,108.0,1.92,2015,Benzie,11,0
,991.0,1911.0,1231.0,680.0,209200.0,211.0,109.0,1.93,2015,Benzie,11,0
,974.0,1903.0,1206.0,697.0,212201.0,218.0,112.0,1.95,2015,Benzie,11,0
,950.0,1839.0,1168.0,671.0,206026.0,217.0,112.0,1.94,2015,Benzie,11,0
,939.0,1832.0,1143.0,689.0,201158.0,214.0,110.0,1.95,2015,Benzie,11,0
,920.0,1800.0,1128.0,672.0,195727.0,213.0,109.0,1.96,2015,Benzie,11,0
,903.0,1761.0,1103.0,658.0,185839.0,206.0,106.0,1.95,2015,Benzie,11,0
,981.0,1901.0,1204.0,697.0,207461.0,212.0,109.0,1.94,2015,Benzie,11,0
,13741.0,26908.0,15008.0,11900.0,3325549.0,242.0,124.0,1.96,2015,Berrien,12,0
,13559.0,26516.0,14861.0,11655.0,3251404.0,240.0,123.0,1.96,2015,Berrien,12,0
,13501.0,26386.0,14806.0,11580.0,3210790.0,238.0,122.0,1.95,2015,Berrien,12,0
,13484.0,26427.0,14834.0,11593.0,3152314.0,234.0,119.0,1.96,2015,Berrien,12,0
,13491.0,26289.0,14876.0,11413.0,3179581.0,236.0,121.0,1.95,2015,Berrien,12,0
,13470.0,26280.0,14871.0,11409.0,3183245.0,236.0,121.0,1.95,2015,Berrien,12,0
,13372.0,26099.0,14774.0,11325.0,3157871.0,236.0,121.0,1.95,2015,Berrien,12,0
,13343.0,25958.0,14692.0,11266.0,3141301.0,235.0,121.0,1.95,2015,Berrien,12,0
,13278.0,25888.0,14608.0,11280.0,3114159.0,235.0,120.0,1.95,2015,Berrien,12,0
,13206.0,25827.0,14472.0,11355.0,3074705.0,233.0,119.0,1.96,2015,Berrien,12,0
,13178.0,25751.0,14397.0,11354.0,3050851.0,232.0,118.0,1.95,2015,Berrien,12,0
,13077.0,25525.0,14308.0,11217.0,3008919.0,230.0,118.0,1.95,2015,Berrien,12,0
,13392.0,26155.0,14709.0,11446.0,3154224.0,235.0,121.0,1.95,2015,Berrien,12,0
,2981.0,6245.0,3655.0,2590.0,704473.0,236.0,113.0,2.09,2015,Branch,13,0
,2925.0,6155.0,3606.0,2549.0,688781.0,235.0,112.0,2.1,2015,Branch,13,0
,2906.0,6065.0,3560.0,2505.0,677788.0,233.0,112.0,2.09,2015,Branch,13,0
,2909.0,6085.0,3572.0,2513.0,663516.0,228.0,109.0,2.09,2015,Branch,13,0
,2890.0,6000.0,3548.0,2452.0,661333.0,229.0,110.0,2.08,2015,Branch,13,0
,2892.0,6018.0,3538.0,2480.0,660406.0,228.0,110.0,2.08,2015,Branch,13,0
,2826.0,5908.0,3459.0,2449.0,649796.0,230.0,110.0,2.09,2015,Branch,13,0
,2835.0,5955.0,3460.0,2495.0,645444.0,228.0,108.0,2.1,2015,Branch,13,0
,2789.0,5871.0,3412.0,2459.0,630848.0,226.0,107.0,2.11,2015,Branch,13,0
,2768.0,5847.0,3393.0,2454.0,616193.0,223.0,105.0,2.11,2015,Branch,13,0
,2750.0,5819.0,3358.0,2461.0,610140.0,222.0,105.0,2.12,2015,Branch,13,0
,2732.0,5756.0,3313.0,2443.0,606699.0,222.0,105.0,2.11,2015,Branch,13,0
,2850.0,5977.0,3490.0,2488.0,651285.0,228.0,109.0,2.1,2015,Branch,13,0
,14128.0,26927.0,16141.0,10786.0,3334720.0,236.0,124.0,1.91,2015,Calhoun,14,0
