county,year,month,cases,recipients,adult recipients,child recipients,payments,average per case,average per person,avg. recipients per case
Alcona,2014,10,806.0,1479.0,1019.0,460.0,175887.0,218.0,119.0,1.83
Alcona,2014,11,797.0,1476.0,1013.0,463.0,174909.0,219.0,119.0,1.85
Alcona,2014,12,784.0,1460.0,1000.0,460.0,171119.0,218.0,117.0,1.86
Alcona,2015,1,789.0,1432.0,1004.0,428.0,165684.0,210.0,116.0,1.81
Alcona,2015,2,793.0,1447.0,1008.0,439.0,166483.0,210.0,115.0,1.82
Alcona,2015,3,786.0,1445.0,998.0,447.0,169121.0,215.0,117.0,1.84
Alcona,2015,4,795.0,1447.0,1006.0,441.0,170280.0,214.0,118.0,1.82
Alcona,2015,5,776.0,1423.0,989.0,434.0,166771.0,215.0,117.0,1.83
Alcona,2015,6,766.0,1393.0,979.0,414.0,159911.0,209.0,115.0,1.82
Alcona,2015,7,758.0,1392.0,969.0,423.0,155057.0,205.0,111.0,1.84
Alcona,2015,8,754.0,1395.0,965.0,430.0,152845.0,203.0,110.0,1.85
Alcona,2015,9,746.0,1372.0,958.0,414.0,147749.0,198.0,108.0,1.84
Alcona,2015,10,744.0,1346.0,946.0,400.0,147823.0,199.0,110.0,1.81
Alcona,2015,11,751.0,1341.0,949.0,392.0,145175.0,193.0,108.0,1.79
Alcona,2015,12,749.0,1343.0,944.0,399.0,145010.0,194.0,108.0,1.79
Alcona,2016,1,749.0,1331.0,939.0,392.0,146938.0,196.0,110.0,1.78
Alcona,2016,2,757.0,1337.0,947.0,390.0,151192.0,200.0,113.0,1.77
Alcona,2016,3,742.0,1318.0,931.0,387.0,150897.0,203.0,114.0,1.78
Alcona,2016,4,735.0,1314.0,929.0,385.0,146292.0,199.0,111.0,1.79
Alcona,2016,5,738.0,1320.0,922.0,398.0,146388.0,198.0,111.0,1.79
Alcona,2016,6,720.0,1293.0,902.0,391.0,148348.0,206.0,115.0,1.8
Alcona,2016,7,717.0,1298.0,898.0,400.0,145475.0,203.0,112.0,1.81
Alcona,2016,8,720.0,1309.0,904.0,405.0,145147.0,202.0,111.0,1.82
