county,Cases,Recipients,Adult Recipients,Child Recipients,Payments,Average Per Case,Average Per Person,Avg. Recipients Per Case,year,month
Alcona,792.0,1428.0,993.0,435.0,394330.0,497.89,276.14,1.8,2023,10
Alcona,803.0,1435.0,1001.0,434.0,384853.0,479.27,268.19,1.79,2023,11
Alcona,814.0,1447.0,1019.0,428.0,383767.0,471.46,265.22,1.78,2023,12
Alcona,816.0,1452.0,1023.0,429.0,380274.0,466.02,261.9,1.78,2023,1
Alcona,819.0,1460.0,1026.0,434.0,389428.0,475.49,266.73,1.78,2023,2
Alcona,820.0,1452.0,1022.0,430.0,224349.0,273.6,154.51,1.77,2023,3
Alcona,822.0,1473.0,1031.0,442.0,215455.0,262.11,146.27,1.79,2023,4
Alcona,810.0,1438.0,1008.0,430.0,215634.0,266.21,149.95,1.78,2023,5
Alcona,795.0,1407.0,982.0,425.0,209161.0,263.1,148.66,1.77,2023,6
Alcona,793.0,1400.0,972.0,428.0,207266.0,261.37,148.05,1.77,2023,7
Alcona,782.0,1374.0,960.0,414.0,206238.0,263.73,150.1,1.76,2023,8
Alcona,776.0,1348.0,951.0,397.0,203449.0,262.18,150.93,1.74,2023,9
Alger,406.0,736.0,492.0,244.0,204067.0,502.63,277.26,1.81,2023,10
Alger,426.0,765.0,521.0,244.0,199115.0,467.41,260.28,1.8,2023,11
Alger,434.0,782.0,529.0,253.0,205581.0,473.69,262.89,1.8,2023,12
Alger,443.0,788.0,539.0,249.0,207748.0,468.96,263.64,1.78,2023,1
Alger,438.0,785.0,535.0,250.0,208506.0,476.04,265.61,1.79,2023,2
Alger,429.0,783.0,527.0,256.0,115754.0,269.82,147.83,1.83,2023,3
Alger,433.0,785.0,532.0,253.0,113217.0,261.47,144.23,1.81,2023,4
Alger,434.0,788.0,535.0,253.0,115032.0,265.05,145.98,1.82,2023,5
Alger,431.0,777.0,528.0,249.0,115432.0,267.82,148.56,1.8,2023,6
Alger,432.0,777.0,527.0,250.0,114734.0,265.59,147.66,1.8,2023,7
Alger,423.0,758.0,512.0,246.0,110749.0,261.82,146.11,1.79,2023,8
Alger,417.0,747.0,504.0,243.0,107788.0,258.48,144.29,1.79,2023,9
Allegan,5128.0,10411.0,5896.0,4515.0,2771043.0,540.38,266.16,2.03,2023,10
Allegan,5145.0,10472.0,5915.0,4557.0,2666989.0,518.37,254.68,2.04,2023,11
