Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
713.0,1278.0,895.0,383.0,141945.0,2017,Alcona,2,0
735.0,1304.0,916.0,388.0,144426.0,2017,Alcona,2,0
738.0,1296.0,915.0,381.0,144893.0,2017,Alcona,2,0
749.0,1301.0,925.0,376.0,145499.0,2017,Alcona,2,0
757.0,1320.0,939.0,381.0,150022.0,2017,Alcona,2,0
752.0,1337.0,939.0,398.0,150506.0,2017,Alcona,2,0
748.0,1318.0,932.0,386.0,148488.0,2017,Alcona,2,0
738.0,1285.0,915.0,370.0,147320.0,2017,Alcona,2,0
727.0,1280.0,905.0,375.0,142514.0,2017,Alcona,2,0
732.0,1266.0,902.0,364.0,141632.0,2017,Alcona,2,0
731.0,1245.0,896.0,349.0,148172.0,2017,Alcona,2,0
737.0,1266.0,905.0,361.0,150206.0,2017,Alcona,2,0
738.0,1291.0,915.0,376.0,146302.0,2017,Alcona,2,0
