Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
5068.0,10738.0,5925.0,4813.0,1156006.0,2017,Allegan,4,0
5009.0,10521.0,5843.0,4678.0,1131661.0,2017,Allegan,4,0
4917.0,10332.0,5751.0,4581.0,1109034.0,2017,Allegan,4,0
4908.0,10272.0,5750.0,4522.0,1103898.0,2017,Allegan,4,0
4856.0,10172.0,5694.0,4478.0,1107756.0,2017,Allegan,4,0
4792.0,10068.0,5614.0,4454.0,1100416.0,2017,Allegan,4,0
4734.0,9910.0,5540.0,4370.0,1080816.0,2017,Allegan,4,0
4690.0,9791.0,5500.0,4291.0,1074793.0,2017,Allegan,4,0
4676.0,9764.0,5463.0,4301.0,1063904.0,2017,Allegan,4,0
4688.0,9781.0,5442.0,4339.0,1063876.0,2017,Allegan,4,0
4701.0,9772.0,5458.0,4314.0,1106518.0,2017,Allegan,4,0
4640.0,9652.0,5374.0,4278.0,1093225.0,2017,Allegan,4,0
4807.0,10064.0,5613.0,4452.0,1099325.0,2017,Allegan,4,0
