Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1063.0,2121.0,1324.0,797.0,217180.0,2017,Antrim,6,0
1052.0,2089.0,1311.0,778.0,220193.0,2017,Antrim,6,0
1067.0,2131.0,1335.0,796.0,225011.0,2017,Antrim,6,0
1076.0,2154.0,1355.0,799.0,225090.0,2017,Antrim,6,0
1070.0,2135.0,1339.0,796.0,229935.0,2017,Antrim,6,0
1075.0,2126.0,1338.0,788.0,228276.0,2017,Antrim,6,0
1077.0,2122.0,1333.0,789.0,227268.0,2017,Antrim,6,0
1080.0,2121.0,1340.0,781.0,227133.0,2017,Antrim,6,0
1071.0,2108.0,1335.0,773.0,224538.0,2017,Antrim,6,0
1065.0,2114.0,1330.0,784.0,221541.0,2017,Antrim,6,0
1060.0,2089.0,1322.0,767.0,230200.0,2017,Antrim,6,0
1061.0,2082.0,1312.0,770.0,224652.0,2017,Antrim,6,0
1068.0,2116.0,1331.0,785.0,225085.0,2017,Antrim,6,0
