Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1228.0,2248.0,1492.0,756.0,246807.0,2017,Crawford,21,0
1232.0,2263.0,1497.0,766.0,247920.0,2017,Crawford,21,0
1229.0,2247.0,1491.0,756.0,250022.0,2017,Crawford,21,0
1237.0,2262.0,1502.0,760.0,252086.0,2017,Crawford,21,0
1249.0,2298.0,1534.0,764.0,253333.0,2017,Crawford,21,0
1219.0,2256.0,1501.0,755.0,249601.0,2017,Crawford,21,0
1197.0,2200.0,1470.0,730.0,239941.0,2017,Crawford,21,0
1197.0,2199.0,1472.0,727.0,243293.0,2017,Crawford,21,0
1193.0,2218.0,1478.0,740.0,240569.0,2017,Crawford,21,0
1172.0,2172.0,1442.0,730.0,233853.0,2017,Crawford,21,0
1163.0,2144.0,1424.0,720.0,239411.0,2017,Crawford,21,0
1157.0,2143.0,1419.0,724.0,239940.0,2017,Crawford,21,0
1206.0,2221.0,1477.0,744.0,244731.0,2017,Crawford,21,0
