Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
2704.0,4894.0,3265.0,1629.0,548632.0,2017,Iosco,36,0
2681.0,4853.0,3227.0,1626.0,549626.0,2017,Iosco,36,0
2687.0,4890.0,3242.0,1648.0,555223.0,2017,Iosco,36,0
2696.0,4898.0,3243.0,1655.0,556045.0,2017,Iosco,36,0
2701.0,4932.0,3256.0,1676.0,565847.0,2017,Iosco,36,0
2665.0,4857.0,3221.0,1636.0,553013.0,2017,Iosco,36,0
2640.0,4823.0,3202.0,1621.0,552392.0,2017,Iosco,36,0
2630.0,4815.0,3185.0,1630.0,548501.0,2017,Iosco,36,0
2595.0,4700.0,3124.0,1576.0,528672.0,2017,Iosco,36,0
2568.0,4659.0,3085.0,1574.0,512333.0,2017,Iosco,36,0
2562.0,4662.0,3094.0,1568.0,532596.0,2017,Iosco,36,0
2531.0,4548.0,3031.0,1517.0,517677.0,2017,Iosco,36,0
2638.0,4794.0,3181.0,1613.0,543380.0,2017,Iosco,36,0
