Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
882.0,1633.0,1072.0,561.0,178981.0,2017,Iron,37,0
872.0,1596.0,1052.0,544.0,177493.0,2017,Iron,37,0
850.0,1566.0,1024.0,542.0,172987.0,2017,Iron,37,0
869.0,1610.0,1043.0,567.0,177771.0,2017,Iron,37,0
871.0,1603.0,1040.0,563.0,175275.0,2017,Iron,37,0
854.0,1573.0,1019.0,554.0,171544.0,2017,Iron,37,0
829.0,1521.0,986.0,535.0,168192.0,2017,Iron,37,0
820.0,1517.0,979.0,538.0,167788.0,2017,Iron,37,0
825.0,1516.0,985.0,531.0,165683.0,2017,Iron,37,0
806.0,1474.0,961.0,513.0,160791.0,2017,Iron,37,0
818.0,1479.0,975.0,504.0,166083.0,2017,Iron,37,0
819.0,1464.0,967.0,497.0,165065.0,2017,Iron,37,0
843.0,1546.0,1009.0,537.0,170638.0,2017,Iron,37,0
