Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
5900.0,11690.0,6908.0,4782.0,1312666.0,2017,Lenawee,47,0
5878.0,11640.0,6892.0,4748.0,1303676.0,2017,Lenawee,47,0
5836.0,11598.0,6856.0,4742.0,1291894.0,2017,Lenawee,47,0
5886.0,11697.0,6936.0,4761.0,1294455.0,2017,Lenawee,47,0
5850.0,11620.0,6887.0,4733.0,1307033.0,2017,Lenawee,47,0
5838.0,11532.0,6849.0,4683.0,1287288.0,2017,Lenawee,47,0
5767.0,11390.0,6780.0,4610.0,1272700.0,2017,Lenawee,47,0
5752.0,11392.0,6744.0,4648.0,1272706.0,2017,Lenawee,47,0
5724.0,11377.0,6692.0,4685.0,1258213.0,2017,Lenawee,47,0
5673.0,11272.0,6641.0,4631.0,1256302.0,2017,Lenawee,47,0
5703.0,11264.0,6671.0,4593.0,1313931.0,2017,Lenawee,47,0
5616.0,11092.0,6562.0,4530.0,1302663.0,2017,Lenawee,47,0
5785.0,11464.0,6785.0,4679.0,1289461.0,2017,Lenawee,47,0
