Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
460.0,701.0,549.0,152.0,68636.0,2017,Ontonagon,67,0
457.0,695.0,548.0,147.0,65887.0,2017,Ontonagon,67,0
451.0,678.0,538.0,140.0,66518.0,2017,Ontonagon,67,0
455.0,698.0,548.0,150.0,69023.0,2017,Ontonagon,67,0
455.0,686.0,545.0,141.0,69922.0,2017,Ontonagon,67,0
449.0,671.0,539.0,132.0,68141.0,2017,Ontonagon,67,0
457.0,688.0,552.0,136.0,69971.0,2017,Ontonagon,67,0
452.0,673.0,542.0,131.0,71314.0,2017,Ontonagon,67,0
452.0,677.0,541.0,136.0,68124.0,2017,Ontonagon,67,0
448.0,674.0,538.0,136.0,66348.0,2017,Ontonagon,67,0
450.0,674.0,537.0,137.0,71304.0,2017,Ontonagon,67,0
444.0,656.0,527.0,129.0,71458.0,2017,Ontonagon,67,0
453.0,681.0,542.0,139.0,68887.0,2017,Ontonagon,67,0
