Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1715.0,3486.0,2140.0,1346.0,384791.0,2017,Osceola,68,0
1690.0,3432.0,2112.0,1320.0,382861.0,2017,Osceola,68,0
1685.0,3418.0,2109.0,1309.0,378077.0,2017,Osceola,68,0
1688.0,3399.0,2101.0,1298.0,370487.0,2017,Osceola,68,0
1701.0,3445.0,2130.0,1315.0,379765.0,2017,Osceola,68,0
1681.0,3401.0,2104.0,1297.0,368082.0,2017,Osceola,68,0
1660.0,3365.0,2077.0,1288.0,375514.0,2017,Osceola,68,0
1701.0,3458.0,2130.0,1328.0,379877.0,2017,Osceola,68,0
1698.0,3465.0,2133.0,1332.0,372735.0,2017,Osceola,68,0
1672.0,3386.0,2095.0,1291.0,372602.0,2017,Osceola,68,0
1676.0,3381.0,2094.0,1287.0,391269.0,2017,Osceola,68,0
1681.0,3383.0,2097.0,1286.0,389890.0,2017,Osceola,68,0
1687.0,3418.0,2110.0,1308.0,378829.0,2017,Osceola,68,0
