Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
3857.0,7891.0,4798.0,3093.0,881630.0,2017,Tuscola,80,0
3813.0,7785.0,4746.0,3039.0,876419.0,2017,Tuscola,80,0
3800.0,7733.0,4725.0,3008.0,864446.0,2017,Tuscola,80,0
3821.0,7784.0,4757.0,3027.0,864059.0,2017,Tuscola,80,0
3816.0,7752.0,4758.0,2994.0,867175.0,2017,Tuscola,80,0
3797.0,7677.0,4725.0,2952.0,863035.0,2017,Tuscola,80,0
3772.0,7601.0,4680.0,2921.0,847087.0,2017,Tuscola,80,0
3744.0,7556.0,4645.0,2911.0,839907.0,2017,Tuscola,80,0
3683.0,7399.0,4544.0,2855.0,819803.0,2017,Tuscola,80,0
3668.0,7353.0,4531.0,2822.0,816839.0,2017,Tuscola,80,0
3639.0,7278.0,4497.0,2781.0,834573.0,2017,Tuscola,80,0
3606.0,7255.0,4472.0,2783.0,831889.0,2017,Tuscola,80,0
3751.0,7589.0,4657.0,2932.0,850572.0,2017,Tuscola,80,0
