Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
531.0,1028.0,541.0,487.0,220712.0,2017,X-Unassigned,85,0
544.0,1083.0,540.0,543.0,195111.0,2017,X-Unassigned,85,0
428.0,817.0,442.0,375.0,134311.0,2017,X-Unassigned,85,0
472.0,928.0,495.0,433.0,145203.0,2017,X-Unassigned,85,0
438.0,782.0,464.0,318.0,132633.0,2017,X-Unassigned,85,0
426.0,822.0,448.0,374.0,168974.0,2017,X-Unassigned,85,0
478.0,984.0,518.0,466.0,180644.0,2017,X-Unassigned,85,0
495.0,1002.0,514.0,488.0,152920.0,2017,X-Unassigned,85,0
482.0,910.0,477.0,433.0,136568.0,2017,X-Unassigned,85,0
486.0,948.0,489.0,459.0,173260.0,2017,X-Unassigned,85,0
504.0,1012.0,532.0,480.0,212333.0,2017,X-Unassigned,85,0
527.0,1046.0,562.0,484.0,200002.0,2017,X-Unassigned,85,0
484.0,947.0,502.0,445.0,171056.0,2017,X-Unassigned,85,0
