Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1295.0,2284.0,1572.0,712.0,252661.0,2018,Arenac,7,0
1286.0,2291.0,1575.0,716.0,249289.0,2018,Arenac,7,0
1279.0,2282.0,1567.0,715.0,247456.0,2018,Arenac,7,0
1273.0,2276.0,1564.0,712.0,242344.0,2018,Arenac,7,0
1271.0,2270.0,1561.0,709.0,243142.0,2018,Arenac,7,0
1261.0,2239.0,1547.0,692.0,240145.0,2018,Arenac,7,0
1247.0,2199.0,1530.0,669.0,237502.0,2018,Arenac,7,0
1232.0,2172.0,1509.0,663.0,234877.0,2018,Arenac,7,0
1236.0,2169.0,1505.0,664.0,230930.0,2018,Arenac,7,0
1216.0,2103.0,1466.0,637.0,228402.0,2018,Arenac,7,0
1210.0,2101.0,1467.0,634.0,223225.0,2018,Arenac,7,0
1202.0,2079.0,1448.0,631.0,219443.0,2018,Arenac,7,0
1251.0,2205.0,1526.0,680.0,237451.0,2018,Arenac,7,0
