Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1938.0,3715.0,2258.0,1457.0,416394.0,2018,Chippewa,18,0
1960.0,3739.0,2283.0,1456.0,416983.0,2018,Chippewa,18,0
1964.0,3767.0,2293.0,1474.0,436080.0,2018,Chippewa,18,0
1961.0,3783.0,2299.0,1484.0,428222.0,2018,Chippewa,18,0
1963.0,3749.0,2280.0,1469.0,428026.0,2018,Chippewa,18,0
1965.0,3779.0,2303.0,1476.0,424817.0,2018,Chippewa,18,0
1951.0,3732.0,2279.0,1453.0,422286.0,2018,Chippewa,18,0
1949.0,3738.0,2280.0,1458.0,417409.0,2018,Chippewa,18,0
1920.0,3644.0,2236.0,1408.0,407984.0,2018,Chippewa,18,0
1912.0,3598.0,2222.0,1376.0,399849.0,2018,Chippewa,18,0
1863.0,3511.0,2162.0,1349.0,390940.0,2018,Chippewa,18,0
1819.0,3409.0,2103.0,1306.0,376918.0,2018,Chippewa,18,0
1930.0,3680.0,2250.0,1431.0,413826.0,2018,Chippewa,18,0
