Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
2588.0,4664.0,3048.0,1616.0,535634.0,2018,Delta,22,0
2585.0,4640.0,3039.0,1601.0,529252.0,2018,Delta,22,0
2576.0,4623.0,3031.0,1592.0,529837.0,2018,Delta,22,0
2561.0,4611.0,3030.0,1581.0,516103.0,2018,Delta,22,0
2542.0,4590.0,3019.0,1571.0,513551.0,2018,Delta,22,0
2563.0,4657.0,3058.0,1599.0,517403.0,2018,Delta,22,0
2562.0,4638.0,3057.0,1581.0,515516.0,2018,Delta,22,0
2560.0,4566.0,3047.0,1519.0,504732.0,2018,Delta,22,0
2541.0,4519.0,3007.0,1512.0,498555.0,2018,Delta,22,0
2515.0,4429.0,2959.0,1470.0,492468.0,2018,Delta,22,0
2486.0,4353.0,2910.0,1443.0,491158.0,2018,Delta,22,0
2457.0,4286.0,2872.0,1414.0,476282.0,2018,Delta,22,0
2545.0,4548.0,3006.0,1542.0,510041.0,2018,Delta,22,0
