Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
2042.0,3599.0,2465.0,1134.0,415324.0,2018,Gladwin,27,0
2053.0,3613.0,2483.0,1130.0,406897.0,2018,Gladwin,27,0
2052.0,3601.0,2476.0,1125.0,411270.0,2018,Gladwin,27,0
2062.0,3642.0,2492.0,1150.0,409472.0,2018,Gladwin,27,0
2065.0,3658.0,2497.0,1161.0,415148.0,2018,Gladwin,27,0
2078.0,3677.0,2509.0,1168.0,417611.0,2018,Gladwin,27,0
2074.0,3651.0,2505.0,1146.0,419004.0,2018,Gladwin,27,0
2057.0,3613.0,2498.0,1115.0,416027.0,2018,Gladwin,27,0
2052.0,3587.0,2480.0,1107.0,406884.0,2018,Gladwin,27,0
2063.0,3561.0,2482.0,1079.0,409921.0,2018,Gladwin,27,0
2046.0,3521.0,2448.0,1073.0,404384.0,2018,Gladwin,27,0
2068.0,3564.0,2462.0,1102.0,403394.0,2018,Gladwin,27,0
2059.0,3607.0,2483.0,1124.0,411278.0,2018,Gladwin,27,0
