Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
2692.0,5422.0,3306.0,2116.0,625508.0,2018,Hillsdale,31,0
2689.0,5411.0,3299.0,2112.0,617389.0,2018,Hillsdale,31,0
2681.0,5397.0,3280.0,2117.0,620123.0,2018,Hillsdale,31,0
2716.0,5441.0,3325.0,2116.0,612734.0,2018,Hillsdale,31,0
2705.0,5432.0,3309.0,2123.0,621878.0,2018,Hillsdale,31,0
2659.0,5306.0,3264.0,2042.0,609723.0,2018,Hillsdale,31,0
2646.0,5296.0,3256.0,2040.0,603070.0,2018,Hillsdale,31,0
2638.0,5296.0,3259.0,2037.0,592081.0,2018,Hillsdale,31,0
2662.0,5307.0,3267.0,2040.0,593657.0,2018,Hillsdale,31,0
2660.0,5266.0,3238.0,2028.0,597233.0,2018,Hillsdale,31,0
2673.0,5248.0,3237.0,2011.0,597156.0,2018,Hillsdale,31,0
2667.0,5239.0,3231.0,2008.0,594759.0,2018,Hillsdale,31,0
2674.0,5338.0,3273.0,2066.0,607109.0,2018,Hillsdale,31,0
