Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
111.0,180.0,135.0,45.0,16135.0,2018,Keweenaw,43,0
109.0,169.0,130.0,39.0,15509.0,2018,Keweenaw,43,0
107.0,163.0,126.0,37.0,14597.0,2018,Keweenaw,43,0
107.0,162.0,126.0,36.0,14698.0,2018,Keweenaw,43,0
98.0,152.0,116.0,36.0,14191.0,2018,Keweenaw,43,0
101.0,160.0,119.0,41.0,14442.0,2018,Keweenaw,43,0
97.0,157.0,115.0,42.0,14107.0,2018,Keweenaw,43,0
96.0,157.0,114.0,43.0,13476.0,2018,Keweenaw,43,0
94.0,148.0,111.0,37.0,13215.0,2018,Keweenaw,43,0
91.0,140.0,107.0,33.0,12720.0,2018,Keweenaw,43,0
92.0,140.0,107.0,33.0,12841.0,2018,Keweenaw,43,0
92.0,135.0,105.0,30.0,12788.0,2018,Keweenaw,43,0
100.0,155.0,118.0,38.0,14060.0,2018,Keweenaw,43,0
