Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
677.0,1137.0,828.0,309.0,123983.0,2019,Alcona,2,0
673.0,1143.0,828.0,315.0,122651.0,2019,Alcona,2,0
666.0,1118.0,818.0,300.0,125653.0,2019,Alcona,2,0
678.0,1162.0,843.0,319.0,127817.0,2019,Alcona,2,0
682.0,1181.0,843.0,338.0,129050.0,2019,Alcona,2,0
682.0,1171.0,841.0,330.0,126081.0,2019,Alcona,2,0
667.0,1137.0,817.0,320.0,119190.0,2019,Alcona,2,0
658.0,1119.0,806.0,313.0,119218.0,2019,Alcona,2,0
649.0,1100.0,792.0,308.0,118269.0,2019,Alcona,2,0
643.0,1097.0,779.0,318.0,120532.0,2019,Alcona,2,0
625.0,1079.0,761.0,318.0,117873.0,2019,Alcona,2,0
618.0,1053.0,743.0,310.0,111783.0,2019,Alcona,2,0
660.0,1125.0,808.0,317.0,121842.0,2019,Alcona,2,0
419.0,744.0,498.0,246.0,74596.0,2019,Alger,3,0
410.0,718.0,481.0,237.0,77667.0,2019,Alger,3,0
410.0,732.0,482.0,250.0,76557.0,2019,Alger,3,0
416.0,737.0,488.0,249.0,77295.0,2019,Alger,3,0
415.0,751.0,494.0,257.0,78182.0,2019,Alger,3,0
418.0,751.0,495.0,256.0,79505.0,2019,Alger,3,0
411.0,739.0,485.0,254.0,77648.0,2019,Alger,3,0
398.0,731.0,469.0,262.0,75782.0,2019,Alger,3,0
395.0,722.0,464.0,258.0,75344.0,2019,Alger,3,0
393.0,714.0,464.0,250.0,76493.0,2019,Alger,3,0
392.0,704.0,461.0,243.0,71307.0,2019,Alger,3,0
387.0,696.0,461.0,235.0,69316.0,2019,Alger,3,0
405.0,728.0,479.0,250.0,75808.0,2019,Alger,3,0
4159.0,8543.0,4749.0,3794.0,927230.0,2019,Allegan,4,0
4084.0,8287.0,4638.0,3649.0,901014.0,2019,Allegan,4,0
4077.0,8333.0,4641.0,3692.0,905757.0,2019,Allegan,4,0
4030.0,8194.0,4595.0,3599.0,867498.0,2019,Allegan,4,0
4050.0,8231.0,4621.0,3610.0,883115.0,2019,Allegan,4,0
4023.0,8175.0,4599.0,3576.0,881961.0,2019,Allegan,4,0
4006.0,8134.0,4571.0,3563.0,882577.0,2019,Allegan,4,0
3999.0,8126.0,4545.0,3581.0,877497.0,2019,Allegan,4,0
3960.0,8073.0,4468.0,3605.0,872462.0,2019,Allegan,4,0
3988.0,8136.0,4464.0,3672.0,888155.0,2019,Allegan,4,0
3972.0,8068.0,4421.0,3647.0,881961.0,2019,Allegan,4,0
3952.0,8018.0,4398.0,3620.0,863009.0,2019,Allegan,4,0
4025.0,8193.0,4559.0,3634.0,886020.0,2019,Allegan,4,0
2330.0,3978.0,2737.0,1241.0,427676.0,2019,Alpena,5,0
2308.0,3911.0,2705.0,1206.0,414149.0,2019,Alpena,5,0
2328.0,3949.0,2736.0,1213.0,414045.0,2019,Alpena,5,0
2297.0,3903.0,2699.0,1204.0,404050.0,2019,Alpena,5,0
2283.0,3874.0,2671.0,1203.0,403619.0,2019,Alpena,5,0
2264.0,3862.0,2663.0,1199.0,397855.0,2019,Alpena,5,0
2250.0,3858.0,2642.0,1216.0,393844.0,2019,Alpena,5,0
2223.0,3781.0,2601.0,1180.0,392460.0,2019,Alpena,5,0
2204.0,3743.0,2568.0,1175.0,389210.0,2019,Alpena,5,0
2152.0,3648.0,2504.0,1144.0,387729.0,2019,Alpena,5,0
2141.0,3621.0,2498.0,1123.0,379818.0,2019,Alpena,5,0
2117.0,3565.0,2456.0,1109.0,369293.0,2019,Alpena,5,0
2241.0,3808.0,2623.0,1184.0,397812.0,2019,Alpena,5,0
953.0,1773.0,1156.0,617.0,190101.0,2019,Antrim,6,0
971.0,1792.0,1180.0,612.0,188675.0,2019,Antrim,6,0
953.0,1738.0,1157.0,581.0,185129.0,2019,Antrim,6,0
935.0,1722.0,1137.0,585.0,182041.0,2019,Antrim,6,0
925.0,1710.0,1135.0,575.0,175057.0,2019,Antrim,6,0
929.0,1719.0,1130.0,589.0,177254.0,2019,Antrim,6,0
916.0,1699.0,1117.0,582.0,175547.0,2019,Antrim,6,0
894.0,1637.0,1087.0,550.0,173067.0,2019,Antrim,6,0
902.0,1668.0,1096.0,572.0,168855.0,2019,Antrim,6,0
897.0,1625.0,1083.0,542.0,166692.0,2019,Antrim,6,0
892.0,1633.0,1080.0,553.0,165408.0,2019,Antrim,6,0
882.0,1588.0,1057.0,531.0,164608.0,2019,Antrim,6,0
921.0,1692.0,1118.0,574.0,176036.0,2019,Antrim,6,0
1178.0,2061.0,1423.0,638.0,220224.0,2019,Arenac,7,0
1152.0,2027.0,1397.0,630.0,213486.0,2019,Arenac,7,0
1141.0,1983.0,1386.0,597.0,208850.0,2019,Arenac,7,0
1132.0,1971.0,1376.0,595.0,205548.0,2019,Arenac,7,0
1142.0,1967.0,1384.0,583.0,205215.0,2019,Arenac,7,0
1116.0,1916.0,1349.0,567.0,200640.0,2019,Arenac,7,0
1107.0,1903.0,1337.0,566.0,200318.0,2019,Arenac,7,0
1097.0,1876.0,1315.0,561.0,194445.0,2019,Arenac,7,0
1087.0,1856.0,1303.0,553.0,190806.0,2019,Arenac,7,0
1104.0,1899.0,1316.0,583.0,195866.0,2019,Arenac,7,0
1101.0,1909.0,1315.0,594.0,197735.0,2019,Arenac,7,0
1091.0,1898.0,1305.0,593.0,195285.0,2019,Arenac,7,0
1121.0,1939.0,1351.0,588.0,202368.0,2019,Arenac,7,0
550.0,952.0,619.0,333.0,109533.0,2019,Baraga,8,0
536.0,940.0,604.0,336.0,108566.0,2019,Baraga,8,0
525.0,921.0,593.0,328.0,105185.0,2019,Baraga,8,0
502.0,889.0,571.0,318.0,101048.0,2019,Baraga,8,0
