Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
2831.0,5489.0,3241.0,2248.0,636566.0,2019,Cass,15,0
2830.0,5481.0,3242.0,2239.0,626820.0,2019,Cass,15,0
2825.0,5465.0,3237.0,2228.0,634488.0,2019,Cass,15,0
2814.0,5456.0,3229.0,2227.0,622343.0,2019,Cass,15,0
2817.0,5418.0,3239.0,2179.0,623526.0,2019,Cass,15,0
2766.0,5291.0,3169.0,2122.0,609650.0,2019,Cass,15,0
2763.0,5329.0,3175.0,2154.0,617747.0,2019,Cass,15,0
2748.0,5278.0,3143.0,2135.0,612044.0,2019,Cass,15,0
2730.0,5201.0,3109.0,2092.0,604428.0,2019,Cass,15,0
2689.0,5113.0,3051.0,2062.0,593091.0,2019,Cass,15,0
2708.0,5240.0,3084.0,2156.0,603044.0,2019,Cass,15,0
2691.0,5219.0,3058.0,2161.0,602375.0,2019,Cass,15,0
2768.0,5332.0,3165.0,2167.0,615510.0,2019,Cass,15,0
