Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
366.0,677.0,412.0,265.0,70907.0,2019,Leelanau,46,0
360.0,675.0,404.0,271.0,69791.0,2019,Leelanau,46,0
351.0,663.0,396.0,267.0,72026.0,2019,Leelanau,46,0
332.0,627.0,370.0,257.0,67201.0,2019,Leelanau,46,0
337.0,646.0,375.0,271.0,69603.0,2019,Leelanau,46,0
346.0,668.0,383.0,285.0,69555.0,2019,Leelanau,46,0
337.0,663.0,379.0,284.0,69948.0,2019,Leelanau,46,0
346.0,667.0,388.0,279.0,70902.0,2019,Leelanau,46,0
326.0,623.0,370.0,253.0,64283.0,2019,Leelanau,46,0
333.0,633.0,371.0,262.0,64391.0,2019,Leelanau,46,0
309.0,572.0,344.0,228.0,59985.0,2019,Leelanau,46,0
303.0,550.0,337.0,213.0,53295.0,2019,Leelanau,46,0
337.0,639.0,377.0,261.0,66824.0,2019,Leelanau,46,0
