Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
3643.0,6458.0,4020.0,2438.0,768658.0,2019,Livingston,48,0
3616.0,6397.0,3997.0,2400.0,747969.0,2019,Livingston,48,0
3616.0,6387.0,3999.0,2388.0,746850.0,2019,Livingston,48,0
3625.0,6419.0,4034.0,2385.0,730601.0,2019,Livingston,48,0
3648.0,6525.0,4069.0,2456.0,747684.0,2019,Livingston,48,0
3633.0,6523.0,4062.0,2461.0,751075.0,2019,Livingston,48,0
3624.0,6459.0,4039.0,2420.0,742245.0,2019,Livingston,48,0
3615.0,6418.0,4016.0,2402.0,730749.0,2019,Livingston,48,0
3606.0,6396.0,3997.0,2399.0,730982.0,2019,Livingston,48,0
3563.0,6315.0,3951.0,2364.0,733229.0,2019,Livingston,48,0
3536.0,6238.0,3915.0,2323.0,722043.0,2019,Livingston,48,0
3530.0,6262.0,3918.0,2344.0,717833.0,2019,Livingston,48,0
3605.0,6400.0,4001.0,2398.0,739160.0,2019,Livingston,48,0
