Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
3267.0,5776.0,3759.0,2017.0,663188.0,2019,Marquette,53,0
3208.0,5658.0,3690.0,1968.0,640299.0,2019,Marquette,53,0
3194.0,5595.0,3667.0,1928.0,629509.0,2019,Marquette,53,0
3211.0,5665.0,3712.0,1953.0,620786.0,2019,Marquette,53,0
3199.0,5626.0,3683.0,1943.0,617921.0,2019,Marquette,53,0
3150.0,5531.0,3623.0,1908.0,603416.0,2019,Marquette,53,0
3151.0,5531.0,3618.0,1913.0,602823.0,2019,Marquette,53,0
3125.0,5503.0,3597.0,1906.0,596343.0,2019,Marquette,53,0
3115.0,5513.0,3579.0,1934.0,599763.0,2019,Marquette,53,0
3107.0,5522.0,3564.0,1958.0,596900.0,2019,Marquette,53,0
3030.0,5311.0,3457.0,1854.0,589296.0,2019,Marquette,53,0
2979.0,5217.0,3402.0,1815.0,565751.0,2019,Marquette,53,0
3145.0,5537.0,3613.0,1925.0,610500.0,2019,Marquette,53,0
