Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
4007.0,7474.0,4729.0,2745.0,860042.0,2019,Shiawassee,77,0
3908.0,7330.0,4602.0,2728.0,845809.0,2019,Shiawassee,77,0
3893.0,7296.0,4595.0,2701.0,851169.0,2019,Shiawassee,77,0
3894.0,7315.0,4596.0,2719.0,834294.0,2019,Shiawassee,77,0
3888.0,7308.0,4591.0,2717.0,820455.0,2019,Shiawassee,77,0
3836.0,7240.0,4528.0,2712.0,815610.0,2019,Shiawassee,77,0
3790.0,7158.0,4473.0,2685.0,809619.0,2019,Shiawassee,77,0
3768.0,7082.0,4436.0,2646.0,800826.0,2019,Shiawassee,77,0
3739.0,7001.0,4408.0,2593.0,788823.0,2019,Shiawassee,77,0
3734.0,7044.0,4410.0,2634.0,792215.0,2019,Shiawassee,77,0
3725.0,7044.0,4388.0,2656.0,786915.0,2019,Shiawassee,77,0
3695.0,6928.0,4322.0,2606.0,762855.0,2019,Shiawassee,77,0
3823.0,7185.0,4507.0,2679.0,814053.0,2019,Shiawassee,77,0
