Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
2822.0,4875.0,3153.0,1722.0,501172.0,2020,Grand Traverse,29,0
2839.0,4920.0,3183.0,1737.0,505744.0,2020,Grand Traverse,29,0
2954.0,5153.0,3317.0,1836.0,534931.0,2020,Grand Traverse,29,0
3085.0,5385.0,3483.0,1902.0,546531.0,2020,Grand Traverse,29,0
3149.0,5466.0,3550.0,1916.0,567090.0,2020,Grand Traverse,29,0
3444.0,6066.0,3922.0,2144.0,979370.0,2020,Grand Traverse,29,0
4235.0,7782.0,4935.0,2847.0,1175092.0,2020,Grand Traverse,29,0
4253.0,7815.0,4964.0,2851.0,1348625.0,2020,Grand Traverse,29,0
3754.0,6547.0,4284.0,2263.0,1134031.0,2020,Grand Traverse,29,0
3423.0,5706.0,3825.0,1881.0,1007970.0,2020,Grand Traverse,29,0
3341.0,5543.0,3709.0,1834.0,959437.0,2020,Grand Traverse,29,0
3329.0,5580.0,3693.0,1887.0,952040.0,2020,Grand Traverse,29,0
3386.0,5903.0,3835.0,2068.0,851003.0,2020,Grand Traverse,29,0
