Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
430.0,743.0,500.0,243.0,71704.0,2020,Mackinac,50,0
417.0,697.0,473.0,224.0,71634.0,2020,Mackinac,50,0
437.0,751.0,503.0,248.0,76973.0,2020,Mackinac,50,0
445.0,764.0,516.0,248.0,76146.0,2020,Mackinac,50,0
460.0,813.0,535.0,278.0,81728.0,2020,Mackinac,50,0
486.0,877.0,573.0,304.0,144046.0,2020,Mackinac,50,0
534.0,985.0,635.0,350.0,158178.0,2020,Mackinac,50,0
549.0,998.0,650.0,348.0,173121.0,2020,Mackinac,50,0
481.0,790.0,560.0,230.0,139402.0,2020,Mackinac,50,0
447.0,723.0,510.0,213.0,127558.0,2020,Mackinac,50,0
426.0,669.0,479.0,190.0,117767.0,2020,Mackinac,50,0
429.0,686.0,484.0,202.0,117023.0,2020,Mackinac,50,0
462.0,791.0,535.0,257.0,112940.0,2020,Mackinac,50,0
