Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
668.0,1114.0,781.0,333.0,112247.0,2020,Presque Isle,72,0
676.0,1139.0,788.0,351.0,112620.0,2020,Presque Isle,72,0
695.0,1180.0,808.0,372.0,119096.0,2020,Presque Isle,72,0
710.0,1207.0,831.0,376.0,121883.0,2020,Presque Isle,72,0
713.0,1220.0,835.0,385.0,122842.0,2020,Presque Isle,72,0
740.0,1270.0,872.0,398.0,216665.0,2020,Presque Isle,72,0
833.0,1479.0,1012.0,467.0,232796.0,2020,Presque Isle,72,0
847.0,1529.0,1036.0,493.0,264708.0,2020,Presque Isle,72,0
794.0,1375.0,948.0,427.0,239461.0,2020,Presque Isle,72,0
768.0,1287.0,901.0,386.0,226656.0,2020,Presque Isle,72,0
759.0,1260.0,889.0,371.0,219839.0,2020,Presque Isle,72,0
754.0,1257.0,887.0,370.0,218091.0,2020,Presque Isle,72,0
746.0,1276.0,882.0,394.0,183909.0,2020,Presque Isle,72,0
