Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
10089.0,18672.0,11440.0,7232.0,2171134.0,2020,St. Clair,78,0
9948.0,18471.0,11302.0,7169.0,2136195.0,2020,St. Clair,78,0
10108.0,18724.0,11458.0,7266.0,2177625.0,2020,St. Clair,78,0
10267.0,19060.0,11715.0,7345.0,2206855.0,2020,St. Clair,78,0
10354.0,19147.0,11804.0,7343.0,2225079.0,2020,St. Clair,78,0
10938.0,20308.0,12543.0,7765.0,3361964.0,2020,St. Clair,78,0
12831.0,24499.0,15067.0,9432.0,3873768.0,2020,St. Clair,78,0
13013.0,24814.0,15279.0,9535.0,4291918.0,2020,St. Clair,78,0
11577.0,20928.0,13258.0,7670.0,3640235.0,2020,St. Clair,78,0
10860.0,19131.0,12289.0,6842.0,3347300.0,2020,St. Clair,78,0
10602.0,18653.0,11960.0,6693.0,3207708.0,2020,St. Clair,78,0
10635.0,18963.0,12027.0,6936.0,3236181.0,2020,St. Clair,78,0
10935.0,20114.0,12512.0,7602.0,2989664.0,2020,St. Clair,78,0
