Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
11591.0,21214.0,12490.0,8724.0,2547031.0,2020,Washtenaw,82,0
11552.0,21095.0,12409.0,8686.0,2520935.0,2020,Washtenaw,82,0
11726.0,21410.0,12614.0,8796.0,2543890.0,2020,Washtenaw,82,0
11963.0,21681.0,12900.0,8781.0,2549390.0,2020,Washtenaw,82,0
12008.0,21516.0,12920.0,8596.0,2558624.0,2020,Washtenaw,82,0
12821.0,22890.0,13822.0,9068.0,3792588.0,2020,Washtenaw,82,0
15454.0,27435.0,16818.0,10617.0,4300189.0,2020,Washtenaw,82,0
15945.0,28225.0,17377.0,10848.0,4885852.0,2020,Washtenaw,82,0
14811.0,25684.0,15997.0,9687.0,4481922.0,2020,Washtenaw,82,0
14001.0,23858.0,15008.0,8850.0,4192639.0,2020,Washtenaw,82,0
13655.0,23169.0,14575.0,8594.0,3988589.0,2020,Washtenaw,82,0
13986.0,24112.0,14946.0,9166.0,4092455.0,2020,Washtenaw,82,0
13293.0,23524.0,14323.0,9201.0,3537842.0,2020,Washtenaw,82,0
