Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
10746.0,20039.0,11627.0,8412.0,3501107.0,2021,Berrien,12,0
10838.0,20417.0,11769.0,8648.0,3622076.0,2021,Berrien,12,0
11004.0,20705.0,11966.0,8739.0,3615730.0,2021,Berrien,12,0
11130.0,20915.0,12104.0,8811.0,4259250.0,2021,Berrien,12,0
11238.0,21163.0,12235.0,8928.0,4337275.0,2021,Berrien,12,0
11205.0,21111.0,12210.0,8901.0,4325519.0,2021,Berrien,12,0
10872.0,20401.0,11832.0,8569.0,4194621.0,2021,Berrien,12,0
10826.0,20269.0,11740.0,8529.0,4557398.0,2021,Berrien,12,0
10893.0,20475.0,11808.0,8667.0,4109115.0,2021,Berrien,12,0
10890.0,20556.0,11786.0,8770.0,4586671.0,2021,Berrien,12,0
10956.0,20685.0,11847.0,8838.0,4610515.0,2021,Berrien,12,0
10929.0,20650.0,11821.0,8829.0,4637201.0,2021,Berrien,12,0
10961.0,20616.0,11895.0,8720.0,4196373.0,2021,Berrien,12,0
