Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1095.0,1863.0,1238.0,625.0,327569.0,2021,Emmet,25,0
1140.0,1979.0,1301.0,678.0,350885.0,2021,Emmet,25,0
1210.0,2147.0,1393.0,754.0,378941.0,2021,Emmet,25,0
1252.0,2221.0,1446.0,775.0,459959.0,2021,Emmet,25,0
1260.0,2238.0,1462.0,776.0,465631.0,2021,Emmet,25,0
1273.0,2259.0,1474.0,785.0,467005.0,2021,Emmet,25,0
1189.0,2072.0,1370.0,702.0,435665.0,2021,Emmet,25,0
1173.0,2046.0,1352.0,694.0,466291.0,2021,Emmet,25,0
1151.0,2006.0,1328.0,678.0,408258.0,2021,Emmet,25,0
1114.0,1935.0,1287.0,648.0,436357.0,2021,Emmet,25,0
1108.0,1882.0,1262.0,620.0,431582.0,2021,Emmet,25,0
1098.0,1876.0,1256.0,620.0,428172.0,2021,Emmet,25,0
1172.0,2044.0,1347.0,696.0,421360.0,2021,Emmet,25,0
