Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1620.0,2955.0,1916.0,1039.0,531210.0,2021,Houghton,32,0
1627.0,2953.0,1914.0,1039.0,529608.0,2021,Houghton,32,0
1679.0,3078.0,1977.0,1101.0,545990.0,2021,Houghton,32,0
1702.0,3143.0,2013.0,1130.0,649330.0,2021,Houghton,32,0
1747.0,3248.0,2076.0,1172.0,666921.0,2021,Houghton,32,0
1734.0,3205.0,2050.0,1155.0,660376.0,2021,Houghton,32,0
1709.0,3164.0,2019.0,1145.0,655758.0,2021,Houghton,32,0
1689.0,3117.0,1991.0,1126.0,697626.0,2021,Houghton,32,0
1660.0,3066.0,1957.0,1109.0,596387.0,2021,Houghton,32,0
1660.0,3080.0,1958.0,1122.0,682759.0,2021,Houghton,32,0
1666.0,3105.0,1973.0,1132.0,692741.0,2021,Houghton,32,0
1701.0,3164.0,2017.0,1147.0,708721.0,2021,Houghton,32,0
1683.0,3107.0,1988.0,1118.0,634786.0,2021,Houghton,32,0
