Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1229.0,2160.0,1426.0,734.0,384846.0,2021,Menominee,56,0
1235.0,2220.0,1439.0,781.0,394034.0,2021,Menominee,56,0
1235.0,2217.0,1434.0,783.0,396240.0,2021,Menominee,56,0
1238.0,2210.0,1437.0,773.0,461365.0,2021,Menominee,56,0
1256.0,2241.0,1462.0,779.0,468899.0,2021,Menominee,56,0
1245.0,2234.0,1452.0,782.0,465989.0,2021,Menominee,56,0
1215.0,2161.0,1418.0,743.0,446555.0,2021,Menominee,56,0
1213.0,2159.0,1416.0,743.0,481807.0,2021,Menominee,56,0
1220.0,2174.0,1413.0,761.0,423845.0,2021,Menominee,56,0
1225.0,2182.0,1415.0,767.0,480458.0,2021,Menominee,56,0
1232.0,2205.0,1431.0,774.0,494641.0,2021,Menominee,56,0
1248.0,2241.0,1450.0,791.0,501045.0,2021,Menominee,56,0
1233.0,2200.0,1433.0,768.0,449977.0,2021,Menominee,56,0
