Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
3363.0,6349.0,3936.0,2413.0,1538415.0,2022,Ionia,35,0
3412.0,6445.0,4003.0,2442.0,1536718.0,2022,Ionia,35,0
3421.0,6490.0,4008.0,2482.0,1566248.0,2022,Ionia,35,0
3461.0,6575.0,4054.0,2521.0,1559207.0,2022,Ionia,35,0
3529.0,6722.0,4142.0,2580.0,1615768.0,2022,Ionia,35,0
3554.0,6766.0,4180.0,2586.0,1617583.0,2022,Ionia,35,0
3601.0,6824.0,4213.0,2611.0,1596878.0,2022,Ionia,35,0
3711.0,7068.0,4349.0,2719.0,1605654.0,2022,Ionia,35,0
3627.0,6909.0,4252.0,2657.0,1618000.0,2022,Ionia,35,0
3642.0,6902.0,4262.0,2640.0,1642699.0,2022,Ionia,35,0
3669.0,6981.0,4306.0,2675.0,1652738.0,2022,Ionia,35,0
3619.0,6840.0,4228.0,2612.0,1637391.0,2022,Ionia,35,0
3551.0,6739.0,4161.0,2578.0,1598942.0,2022,Ionia,35,0
