Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
16456.0,30146.0,17877.0,12269.0,7314582.0,2022,Kalamazoo,40,0
16542.0,30355.0,18012.0,12343.0,7283995.0,2022,Kalamazoo,40,0
16707.0,30792.0,18183.0,12609.0,7507534.0,2022,Kalamazoo,40,0
17053.0,31491.0,18582.0,12909.0,7519519.0,2022,Kalamazoo,40,0
17087.0,31574.0,18655.0,12919.0,7683990.0,2022,Kalamazoo,40,0
17151.0,31680.0,18723.0,12957.0,7677233.0,2022,Kalamazoo,40,0
17519.0,32290.0,19082.0,13208.0,7667943.0,2022,Kalamazoo,40,0
18123.0,33337.0,19750.0,13587.0,7691485.0,2022,Kalamazoo,40,0
17331.0,31932.0,18889.0,13043.0,7652950.0,2022,Kalamazoo,40,0
17429.0,32058.0,19004.0,13054.0,7735400.0,2022,Kalamazoo,40,0
17602.0,32359.0,19189.0,13170.0,7785408.0,2022,Kalamazoo,40,0
17603.0,32167.0,19172.0,12995.0,7793793.0,2022,Kalamazoo,40,0
17217.0,31682.0,18760.0,12922.0,7609486.0,2022,Kalamazoo,40,0
