Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1614.0,2896.0,1912.0,984.0,686919.0,2022,Manistee,52,0
1642.0,2952.0,1953.0,999.0,688275.0,2022,Manistee,52,0
1646.0,2993.0,1981.0,1012.0,712091.0,2022,Manistee,52,0
1694.0,3096.0,2041.0,1055.0,725532.0,2022,Manistee,52,0
1728.0,3176.0,2087.0,1089.0,745950.0,2022,Manistee,52,0
1744.0,3182.0,2101.0,1081.0,761095.0,2022,Manistee,52,0
1786.0,3287.0,2165.0,1122.0,769261.0,2022,Manistee,52,0
1839.0,3366.0,2228.0,1138.0,777325.0,2022,Manistee,52,0
1748.0,3169.0,2124.0,1045.0,757592.0,2022,Manistee,52,0
1758.0,3188.0,2120.0,1068.0,758343.0,2022,Manistee,52,0
1755.0,3166.0,2109.0,1057.0,757594.0,2022,Manistee,52,0
1737.0,3147.0,2094.0,1053.0,739975.0,2022,Manistee,52,0
1724.0,3135.0,2076.0,1059.0,739996.0,2022,Manistee,52,0
