Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
2540.0,4593.0,2969.0,1624.0,1091817.0,2022,Mecosta,55,0
2574.0,4689.0,3020.0,1669.0,1087085.0,2022,Mecosta,55,0
2660.0,4868.0,3130.0,1738.0,1149226.0,2022,Mecosta,55,0
2681.0,4927.0,3163.0,1764.0,1155397.0,2022,Mecosta,55,0
2738.0,5052.0,3247.0,1805.0,1202195.0,2022,Mecosta,55,0
2776.0,5088.0,3284.0,1804.0,1221715.0,2022,Mecosta,55,0
2863.0,5254.0,3400.0,1854.0,1222574.0,2022,Mecosta,55,0
2946.0,5424.0,3501.0,1923.0,1246171.0,2022,Mecosta,55,0
2820.0,5140.0,3336.0,1804.0,1240130.0,2022,Mecosta,55,0
2861.0,5252.0,3374.0,1878.0,1241441.0,2022,Mecosta,55,0
2841.0,5207.0,3362.0,1845.0,1244185.0,2022,Mecosta,55,0
2876.0,5180.0,3409.0,1771.0,1254715.0,2022,Mecosta,55,0
2765.0,5056.0,3266.0,1790.0,1196388.0,2022,Mecosta,55,0
