Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
733.0,1228.0,892.0,336.0,298334.0,2022,Montmorency,61,0
732.0,1223.0,892.0,331.0,299791.0,2022,Montmorency,61,0
748.0,1281.0,920.0,361.0,310861.0,2022,Montmorency,61,0
774.0,1328.0,950.0,378.0,308097.0,2022,Montmorency,61,0
780.0,1331.0,956.0,375.0,321475.0,2022,Montmorency,61,0
798.0,1350.0,977.0,373.0,327123.0,2022,Montmorency,61,0
816.0,1385.0,995.0,390.0,327942.0,2022,Montmorency,61,0
836.0,1412.0,1011.0,401.0,331362.0,2022,Montmorency,61,0
781.0,1328.0,946.0,382.0,321239.0,2022,Montmorency,61,0
774.0,1317.0,939.0,378.0,314190.0,2022,Montmorency,61,0
782.0,1346.0,950.0,396.0,316149.0,2022,Montmorency,61,0
785.0,1356.0,952.0,404.0,326464.0,2022,Montmorency,61,0
778.0,1324.0,948.0,375.0,316919.0,2022,Montmorency,61,0
