Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
2008.0,3538.0,2423.0,1115.0,855122.0,2022,Ogemaw,66,0
1993.0,3523.0,2411.0,1112.0,846490.0,2022,Ogemaw,66,0
2021.0,3609.0,2457.0,1152.0,870483.0,2022,Ogemaw,66,0
2071.0,3716.0,2520.0,1196.0,875567.0,2022,Ogemaw,66,0
2085.0,3791.0,2553.0,1238.0,901763.0,2022,Ogemaw,66,0
2102.0,3798.0,2562.0,1236.0,901836.0,2022,Ogemaw,66,0
2152.0,3874.0,2616.0,1258.0,907864.0,2022,Ogemaw,66,0
2179.0,3955.0,2645.0,1310.0,910148.0,2022,Ogemaw,66,0
2082.0,3697.0,2511.0,1186.0,883453.0,2022,Ogemaw,66,0
2080.0,3684.0,2505.0,1179.0,878090.0,2022,Ogemaw,66,0
2087.0,3687.0,2511.0,1176.0,876148.0,2022,Ogemaw,66,0
2108.0,3690.0,2525.0,1165.0,873580.0,2022,Ogemaw,66,0
2081.0,3714.0,2520.0,1194.0,881712.0,2022,Ogemaw,66,0
