Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
511.0,918.0,613.0,305.0,220050.0,2022,Schoolcraft,76,0
531.0,956.0,645.0,311.0,222646.0,2022,Schoolcraft,76,0
539.0,980.0,655.0,325.0,230977.0,2022,Schoolcraft,76,0
562.0,1042.0,689.0,353.0,243805.0,2022,Schoolcraft,76,0
584.0,1070.0,716.0,354.0,249619.0,2022,Schoolcraft,76,0
599.0,1089.0,735.0,354.0,259470.0,2022,Schoolcraft,76,0
611.0,1121.0,753.0,368.0,259339.0,2022,Schoolcraft,76,0
623.0,1140.0,763.0,377.0,261630.0,2022,Schoolcraft,76,0
603.0,1086.0,728.0,358.0,257061.0,2022,Schoolcraft,76,0
602.0,1092.0,731.0,361.0,259996.0,2022,Schoolcraft,76,0
602.0,1085.0,729.0,356.0,259821.0,2022,Schoolcraft,76,0
606.0,1074.0,735.0,339.0,254546.0,2022,Schoolcraft,76,0
581.0,1054.0,708.0,347.0,248247.0,2022,Schoolcraft,76,0
