Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
3702.0,6948.0,4283.0,2665.0,1667139.0,2022,St. Joseph,79,0
3712.0,6948.0,4283.0,2665.0,1654396.0,2022,St. Joseph,79,0
3711.0,6970.0,4288.0,2682.0,1684867.0,2022,St. Joseph,79,0
3786.0,7172.0,4379.0,2793.0,1687684.0,2022,St. Joseph,79,0
3805.0,7220.0,4399.0,2821.0,1735064.0,2022,St. Joseph,79,0
3795.0,7177.0,4372.0,2805.0,1717711.0,2022,St. Joseph,79,0
3842.0,7248.0,4405.0,2843.0,1712532.0,2022,St. Joseph,79,0
3950.0,7472.0,4518.0,2954.0,1698493.0,2022,St. Joseph,79,0
3790.0,7179.0,4349.0,2830.0,1682941.0,2022,St. Joseph,79,0
3785.0,7166.0,4351.0,2815.0,1688935.0,2022,St. Joseph,79,0
3840.0,7294.0,4413.0,2881.0,1710883.0,2022,St. Joseph,79,0
3875.0,7348.0,4458.0,2890.0,1746261.0,2022,St. Joseph,79,0
3799.0,7179.0,4375.0,2804.0,1698909.0,2022,St. Joseph,79,0
