Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
590.0,1050.0,679.0,371.0,182121.0,2024,Baraga,8,0
589.0,1028.0,672.0,356.0,180496.0,2024,Baraga,8,0
583.0,1012.0,663.0,349.0,181236.0,2024,Baraga,8,0
576.0,1008.0,659.0,349.0,170992.0,2024,Baraga,8,0
573.0,999.0,654.0,345.0,170977.0,2024,Baraga,8,0
573.0,1004.0,659.0,345.0,169938.0,2024,Baraga,8,0
577.0,1010.0,666.0,344.0,172285.0,2024,Baraga,8,0
581.0,1035.0,669.0,366.0,175667.0,2024,Baraga,8,0
577.0,1031.0,665.0,366.0,175136.0,2024,Baraga,8,0
591.0,1058.0,676.0,382.0,175370.0,2024,Baraga,8,0
589.0,1053.0,677.0,376.0,175115.0,2024,Baraga,8,0
577.0,1039.0,667.0,372.0,171813.0,2024,Baraga,8,0
581.0,1027.0,667.0,360.0,175096.0,2024,Baraga,8,0
