Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
44593.0,82169.0,49541.0,32628.0,15470551.0,2024,Genesee,26,0
44380.0,81855.0,49297.0,32558.0,15436376.0,2024,Genesee,26,0
44547.0,81944.0,49475.0,32469.0,15528476.0,2024,Genesee,26,0
44546.0,81958.0,49516.0,32442.0,15266787.0,2024,Genesee,26,0
44648.0,82180.0,49664.0,32516.0,15270787.0,2024,Genesee,26,0
44450.0,81648.0,49479.0,32169.0,15149607.0,2024,Genesee,26,0
44117.0,81008.0,49105.0,31903.0,15076970.0,2024,Genesee,26,0
43888.0,80851.0,48873.0,31978.0,15104059.0,2024,Genesee,26,0
44094.0,81473.0,49183.0,32290.0,15138196.0,2024,Genesee,26,0
44028.0,81390.0,49096.0,32294.0,15257022.0,2024,Genesee,26,0
44196.0,81788.0,49281.0,32507.0,15181811.0,2024,Genesee,26,0
44470.0,82230.0,49603.0,32627.0,15457229.0,2024,Genesee,26,0
44330.0,81708.0,49343.0,32365.0,15278156.0,2024,Genesee,26,0
