Cases,Recipients,Adult Recipients,Child Recipients,Payments,year,county,page_no,table_index
1450.0,2462.0,1707.0,755.0,420990.0,2024,Gogebic,28,0
1432.0,2430.0,1679.0,751.0,411597.0,2024,Gogebic,28,0
1440.0,2453.0,1692.0,761.0,418411.0,2024,Gogebic,28,0
1450.0,2480.0,1706.0,774.0,416284.0,2024,Gogebic,28,0
1471.0,2487.0,1720.0,767.0,415066.0,2024,Gogebic,28,0
1450.0,2455.0,1694.0,761.0,409312.0,2024,Gogebic,28,0
1459.0,2471.0,1702.0,769.0,412604.0,2024,Gogebic,28,0
1449.0,2467.0,1695.0,772.0,412849.0,2024,Gogebic,28,0
1457.0,2496.0,1704.0,792.0,417717.0,2024,Gogebic,28,0
1455.0,2478.0,1700.0,778.0,419160.0,2024,Gogebic,28,0
1464.0,2492.0,1711.0,781.0,418290.0,2024,Gogebic,28,0
1465.0,2514.0,1717.0,797.0,423551.0,2024,Gogebic,28,0
1454.0,2474.0,1702.0,772.0,416319.0,2024,Gogebic,28,0
